repository,state,title,label,body
mvglasow/satstat,closed,Fix issue computing DMS Seconds value.,[],"The abs call on minutes causes the subtractions for second to move further from 0, not closer.

    dec = -122.084
    deg = -122

## current

    tmp = 60.0 * (dec - deg);

tmp = -5.04

    min = (int) Math.abs(tmp);

min = 5

    sec = Math.abs(60.0 * (tmp - min));

sec = abs(60 * (-5.04 - 5)) = abs(60*-10.04) = -602.4

-----

## pr

    tmp = Math.abs(60.0 * (dec - deg));

tmp = 5.04

    min = (int) tmp;

min = 5

    sec = 60.0 * (tmp - min);

sec = 60 * (5.04 - 5) = 60 * 0.04 = 2.4

------

This appears to work and fix the issue. Tested in in Android Studio.


![screenshot_1542955416](https://user-images.githubusercontent.com/40850/48930902-6b3c1a80-eec1-11e8-93c1-4f09a6a51bfb.png)
![screenshot_1542955323](https://user-images.githubusercontent.com/40850/48930903-6b3c1a80-eec1-11e8-897a-63f85a72a583.png)
![screenshot_1542955310](https://user-images.githubusercontent.com/40850/48930904-6b3c1a80-eec1-11e8-843b-3139b1898d85.png)
"
mvglasow/satstat,closed,DMS computation incorrect,[],"![screenshot_20181123-004231](https://user-images.githubusercontent.com/40850/48929860-6031bc00-eeba-11e8-9d95-a7fb35cf9de9.png)
![screenshot_20181123-004855](https://user-images.githubusercontent.com/40850/48929861-6031bc00-eeba-11e8-96de-487c6bcabb15.png)

The seconds in the longitude is wrong because the longitude is negative.

PR coming. "
mvglasow/satstat,closed,Copycat on Google Play,[],"@mvglasow 
Just in case you are not aware someone published your app on Google Play:
[Location, Sensor & Radio Network Status](https://play.google.com/store/apps/details?id=com.drunkdeveloper.location.sensor.radio.network.wifi.status)"
mvglasow/satstat,closed,Why the `PasvLocListenerService` service is always running ?,"[Label(name=""question"")]","I have activated the options to be notified when another app is using the GPS.

On my phone the `PasvLocListenerService` service is always running after SatStat is launched and never stopped.

If I kill the app (so the service is not running), when another app is using the GPS, the notification icon is well displayed, I think thanks to this :

```
<receiver android:name=""GpsEventReceiver"" >
	<intent-filter>
		<action android:name=""android.location.GPS_ENABLED_CHANGE"" />
		<action android:name=""android.location.GPS_FIX_CHANGE"" />
		<action android:name=""android.net.conn.CONNECTIVITY_CHANGE"" />
		<action android:name=""android.net.wifi.STATE_CHANGE"" />
		<action android:name=""com.vonglasow.michael.satstat.AGPS_DATA_EXPIRED"" />
	</intent-filter>
</receiver>
```

So I wonder why there is a service kept running.

Is it normal ?

Thanks for this very useful app ! :)"
mvglasow/satstat,open,"Show ""ephemeris"" for each satellite",[],"This may require the Android 7+ GNSS API, but I think that's ok.

Satstat shows a blue or red bar depending on whether the particular satellite is used in the solution.   Another important thing is whether the ephemeris is current.   I suggest showing a hollow bar to show no ephemeris.  Really, I suggest hollow to show not used, solid for used, and red for no ephemeris, blue for ephemeris, but that's a bigger change.  The point is to match what Garmin units do, but there I think tracking and ephemeris leads to use.

A curiousity is that gpstest shows that GLONASS satellites are sometimes/often used with almanac but without ephemeris.  This seems odd, as I would expect the position computed from almanac to be so high uncertainty as not to be useful."
mvglasow/satstat,open,Show what's what in the map view,[],"In the map view you have these different markers and circles showing the position and accuracy of the different global navigation satellite systems, but it doesn't explain what the red circle is or what the gray marker is. Maybe a tool-tip or something clickable could be added"
mvglasow/satstat,open,graph 📈 for sensor data [Enhancement],[],It could be really good to have a way to graph data from sensors.
mvglasow/satstat,open,Galileo satellites,[],Can you make to show the Galileo sats too? Or is it planned for the future?
mvglasow/satstat,open,Play store upload,[],Hey. I like your app but I can't install anything outside of play store. I'll gladly pay for developer account for you and a small extra personally for you. Just contact me by direct message with your preferred payment method
mvglasow/satstat,open,Feature request: GPS logging,[],Is there any possibility a button can be added to the GPS screen to start/stop recording all the GPS info to a CSV file? Something I can easily import into QGIS whereas most apps are designed for a specific use case.
mvglasow/satstat,closed,Main (satellite) screen stops working,[],"My location can be determined in the map screen, but the main (satellite) screen is only able to show the number of satellites (0/n).

It worked the first time I used the app, but for some reason it has stopped working. I've tried force stopping, clearing app data and revoking and re-allowing location access. But the problem is still not fixed. How do I provide useful information for debugging?"
mvglasow/satstat,closed,No Glonass-detection and no AGPS-data update on one device but on another identical one,[],"I'm absolutely not convinced if I'm reporting a bug but at least I want to mention this weird situation.

Running Satstat v3.3 on two identical devices (details below), and while the two devices are ""sitting"" side by side one of the devices doesn't detect Glonass and doesn't update the AGPS-data due to an ostensibly not available network (but the network is definitely available and used by other applications) while the second device recognises Glonass and performs the AGPS-data update.

Screenshots from both devices are attached, also a Logcat from the device with the issue. For privacy reasons, some parts of the screenshots are pixeled out, some private data in the Logcat are ""X""-ed out.
Hopefully, someone can assist in troubleshooting.

Devices: Samsung GT-i9305
Configuration (identical for both devices):
Satstat v3.3
OS Ressurection Remix-Nougat v5.8.5-final, Magisk v16.0, Boeffla-Kernel, XPosed, XPrivacyLua, AFWall+
All permissions grated to Satstat. ROM- and kernel settings absolutely the same. Same settings in XPrivacyLua and AFWall+.
[Device1_Matlog_2018-06-10-13-26-40.txt](https://github.com/mvglasow/satstat/files/2090196/Device1_Matlog_2018-06-10-13-26-40.txt)
![device1_screenshot_20180610-133429](https://user-images.githubusercontent.com/21972717/41235471-65bb1936-6d7e-11e8-9ae1-255be9688bc9.png)
![device1_screenshot_20180610-133450](https://user-images.githubusercontent.com/21972717/41235473-68915bc0-6d7e-11e8-9128-579f32a5e879.png)
![device1_screenshot_20180610-133509](https://user-images.githubusercontent.com/21972717/41235485-6f2263d0-6d7e-11e8-96c1-a0643d887575.png)
![device1_screenshot_20180610-133529](https://user-images.githubusercontent.com/21972717/41235497-7323f66a-6d7e-11e8-88e4-149a90770f4d.png)
![device1_screenshot_20180610-133545](https://user-images.githubusercontent.com/21972717/41235503-76b5cb78-6d7e-11e8-857c-d12b533e5514.png)
![device2_screenshot_20180610-133438](https://user-images.githubusercontent.com/21972717/41235510-7c8d0aac-6d7e-11e8-8ff0-7123accd4907.png)
![device2_screenshot_20180610-133502](https://user-images.githubusercontent.com/21972717/41235514-7f6627ea-6d7e-11e8-9793-40f177cc61ff.png)
![device2_screenshot_20180610-133520](https://user-images.githubusercontent.com/21972717/41235521-83cd8bd4-6d7e-11e8-9590-9bee8a107461.png)
![device2_screenshot_20180610-133539](https://user-images.githubusercontent.com/21972717/41235530-87940e82-6d7e-11e8-91ce-2c611c8950b1.png)
![device2_screenshot_20180610-133555](https://user-images.githubusercontent.com/21972717/41235542-8a868778-6d7e-11e8-9c13-11daf3c4f9a9.png)










"
mvglasow/satstat,open,crash on opening downloadpath,[],"Hi. when I try to set the downloadfolder Satstat always crashes.
The browser app complains about a null pointer exception

here's the debug

java.lang.RuntimeException: Unable to start activity ComponentInfo{com.mixplorer/com.mixplorer.activities.BrowseActivity}: java.lang.NullPointerException: Attempt to invoke virtual method 'int com.mixplorer.e.ae$a.ordinal()' on a null object reference
	at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:2684)
	at android.app.ActivityThread.handleLaunchActivity(ActivityThread.java:2751)
	at android.app.ActivityThread.-wrap12(ActivityThread.java)
	at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1496)
	at android.os.Handler.dispatchMessage(Handler.java:102)
	at android.os.Looper.loop(Looper.java:154)
	at android.app.ActivityThread.main(ActivityThread.java:6186)
	at java.lang.reflect.Method.invoke(Native Method)
	at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:889)
	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:779)
	at de.robv.android.xposed.XposedBridge.main(XposedBridge.java:107)
Caused by: java.lang.NullPointerException: Attempt to invoke virtual method 'int com.mixplorer.e.ae$a.ordinal()' on a null object reference
	at com.mixplorer.e.ae.a(Unknown Source)
	at com.mixplorer.e.ae.b(Unknown Source)
	at com.mixplorer.e.ae.a(Unknown Source)
	at com.mixplorer.e.ae.b(Unknown Source)
	at com.mixplorer.e.g.h(Unknown Source)
	at com.mixplorer.activities.BrowseActivity.a(Unknown Source)
	at com.mixplorer.activities.BrowseActivity.onCreate(Unknown Source)
	at android.app.Activity.performCreate(Activity.java:6684)
	at android.app.Instrumentation.callActivityOnCreate(Instrumentation.java:1119)
	at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:2637)
	... 10 more
- "
mvglasow/satstat,open,Donations,[],Thank you for satstat. Please add your bitcoin address to your f-droid page and github.
mvglasow/satstat,closed,Upgrade Gradle to 3.1.2,[],
mvglasow/satstat,open,Oreo adaptive icon shape,[],"Please add support for icon shape
https://developer.android.com/guide/practices/ui_guidelines/icon_design_adaptive.html
https://material.io/guidelines/style/icons.html"
mvglasow/satstat,open,Continue searching for satellites when screen is off or app is in background,"[Label(name=""enhancement"")]","I would like to request the ability to enable the app to keep searching/fixing while in the background.

This app is one of the best ways to debug problems with other apps that use GPS, and to ""pre-search"" for satellites for other apps that are going to need them.

My UI idea for this…

* Put a button with an ""hourglass"" or ""lock"" icon on the main satellite screen
* Tapping it will lead to a popup window with time options (e.g. 1,5,10 minutes, Until Manually Disabled).
* Once activated, SatStat would continue searching for satellites even in the background, for the specified period of time.

The reason I suggest this UI is to avoid inadvertently draining the battery by keeping GPS on. (Probably the reason SatStat stops searching when in the background in its current behavior!)

Thank you for this fantastic app."
mvglasow/satstat,open,"Offline Maps - eg. World map, special maps, regional maps",[],"It would be nice to be able to download offline maps directly into the maps path specified. I would like to use this because:
1.) I would like to see a (rough) world map (which is unfortunately not available in the map downloads catalogue but directly at http://download.mapsforge.org/maps/
2.) I would like to use a smaller regional or special map that -I download manually to the maps folder

Unfortunately SatStat seems not to recognize maps that are manually downloaded in that folder. Perhaps it's just an issue to register those maps?
It should be then also told in the settings which osm-map-version is needed. By comparing one dowloaded map with the maps available from mapsforge I believe it's /v4."
mvglasow/satstat,open,Logo design for satstat,[],"Hi, do you want a logo and icons for this app? I will give free to you"
mvglasow/satstat,closed,Update README.md,[],"Hi,

This small and useless PR adds a button to get your app on F-Droid. You can later add a button for Google Play the same way :
`<a href="""" target=""_blank""> <img src=""https://play.google.com/intl/en_us/badges/images/generic/en-play-badge.png"" alt=""Get it on Google Play"" height=""80""/></a>`"
mvglasow/satstat,closed,update hungarian translation,[],
mvglasow/satstat,closed,Completed French translation,[],"Hi, 

I've just completed the French translation for satstat. 

Thanks in advance :) "
mvglasow/satstat,open,"""Elevation"" is unclear (ellipsoidal height vs orthometric height)",[],"SatStat shows ""Elevation"".   From reading the code, it's clear that it uses  Android's Location.getAltitude(), which is defined to be ellipsoidal height.   From experimenting, that seems true for the internal GPS receiver, but someone on the OsmAnd list reports that an external bluetooth GPSr --  hooked up somehow -- results in SatStat showing a value that seems more likely to be orthometric height.

Unfortunately the Android API is misnamed; altitude almost never means ellipsoidal height.  It's hard to think of a better word that won't mislead or confuse.  My two suggestions are ""Ellips. Hght""  (Or ""Ell. H"" if that is what fits) and ""HAE"".
"
mvglasow/satstat,open,Add mmHg (Torr) for pressure sensor,"[Label(name=""enhancement"")]",Please add mmHg unit for pressure sensor. It is common unit of atmospheric pressure in some countries.
mvglasow/satstat,open,zoom setting does not recover from zooming out,[],"In the map tab, the view is widened to fit a low-accuracy location report, as is typical with cell-based location.  That's arguably very sensible.   However, the map does not return to the user-commanded zoom when the low-accuracy report is replaced by one that is more accurate.  (I realize this will get trickier if and when more providers are shown.)

Please comment with either ENOPATCH or ""not a bug and I wouldn't merge such a change""..."
mvglasow/satstat,closed,Set sensor update interval to 100 ms,[],"This is chosen to allow the human to read the numbers and validate
that updates are happening.

This would resolve #140."
mvglasow/satstat,closed,sensor update rate is too high,[],"I just updated to today's git master.  In the sensors view, the acceleration, rotation and magnetic field numbers are changing so fast that 1) I worry about battery drain (without a good basis) and more importantly 2) I can't really read the numbers.    Before, I don't really remember the update rate, but it seemed ok.   So I wonder if it should be limited to 10 Hz, or 5 Hz, or something like that, instead of what seems (without having read the code) like ""as fast as possible""."
mvglasow/satstat,closed,crashes with openbmap location provider with nearly-1GB us.sqlite,"[Label(name=""awaiting feedback"")]","This is a fuzzy report, but I am curious if someone else is seeing this.

I'm running satstat from 2017-06-19 on a relatively modern no-gapps ROM.   I have unifiednlp and several providers.  Until recently, satstat had behaved very well.
Just now I added DejaVu, and have been watching the map view with satstat.  All has seemed sensible.  I updated the mapsforge file from June of 2016 to recent today, and drove for about 45 minutes with that new file and DejaVu with no issues.  Then, I updated the radiocells/openbmap database to the currently-available us.sqlite, which is nearly 1 GB, compared to under 200 MB from before (yes, somethhng seems amiss)., and disabled DejaVu and enabled the openbmap backend.   I was seeing mostly-reasonable data, but found that satstat would crash every few minutes.

So I wonder if something is going wrong with such a huge database, and if the location backend or satstat is running out of memory, or something else.  No logs at the moment, but I can try to get one.

(I've also inquired about the unexpected size of the radiocells db file.)"
