repository,state,title,label,body
vishesh/sealnote,open,Updated string file,[],
vishesh/sealnote,open,Feature Request: disappearing note,[],"I think It may be a good idea to introduce an option that allows the automatic deletion of some notes after a specified interval of time (for exemple 1 h, 6 h, 12 h, 1 d, 1 w etc.), in order to keep the database clean and add an additional security feature. Thanks for keep this app the best of its kind!
"
vishesh/sealnote,open,Bug: Backup crashes app on Android 8.0.0,[],"Settings -> Backup -> START BACKUP

gives message “SealNote has stopped” and no backup file was written.

SealNote Version: 0.8.7 (#27)"
vishesh/sealnote,closed,Russian translation of strings.xml,[],"Self-explanatory. I'm not sure if I put it where it should be, but the translation itself should be fine."
vishesh/sealnote,closed,Merge develop to master,[],
vishesh/sealnote,closed,Update README.md,[],"Solution for this old PR that I totally forgot #53 

@vishesh Is that what you wanted?"
vishesh/sealnote,closed,This app is DEAD!!!,[],
vishesh/sealnote,open,Washed Out Colors,[],"Tagged color always appears washed out when a note is opened. But it looks fine in the main menu. No, there's no issue with my phone's screen.

Do check.

Thanks."
vishesh/sealnote,open,Tags sorting in drawer,[],"It would be nice to be able to sort tags in the drawer, at least alphabetically"
vishesh/sealnote,closed,Added translation files and made changes for better translatability,[],"-Added Italian translation for strings.xml and array.xml
-Added German translation for array.xml (may need corrections)
-PasswordInput.java: moved the array with the values for password strength to array.xml, so those values can be translated, too
-SealnoteFragment.java: changed the hardcoded string at line 182, now it's read from strings.xml (and added the translation for the string to strings-de.xml); there is still a problem since this approach doesn't allow to correctly translate the sentence to languages where Archive and Trash require being preceded by different articles depending on the word (like Italian) or where Archive and Trash are of different genders and require the adjective for ""empty"" to be concordant with the gender. I thought of two possible ways to solve this, but implemented neither since you might want to decide your preferred approach:
--use a different string for each folder; this would require some change in the code in order to retrieve the correct string at runtime; I can do this if you're ok with it
--use only the word ""empty"" without naming the folder"
vishesh/sealnote,closed,Hardcoded string makes sentence untranslatable,[],"There is a hardcoded string in file SealnoteFragment.java, method onAdapterDataSetChanged(). This makes it impossible to translate the string without touching the code. The line I'm talking about is:
`mEmptyGeneric.setText(getActivity().getActionBar().getTitle() + "" is empty!"");`
https://github.com/vishesh/sealnote/blob/master/Sealnote/src/main/java/com/twistedplane/sealnote/fragment/SealnoteFragment.java#L182

I also noticed that, for dialogues where a ""Cancel"" button is present, the string for ""Cancel"" is not read from strings.xml but uses the OS default for the selected language"
vishesh/sealnote,closed,already done,[],already done
vishesh/sealnote,open,Backup wizard stucks at end,[],"v0.8.7 #27
When I presses 'Backup' button from settings, system asks me what to do with backup file. But previously (before March update) I had an option to save .db file to local storage disk with my file explorer as file saver. It easily saves backup. But after update, system is giving only 'gmail' and other options for saving .db files without any file manager option. Even if I selects any option, only rotating indicator shows. Nothing happens. 
Help."
vishesh/sealnote,open,Import Notes from Google Keep,[],"Hi there,

It would be very convenient to add an option to import notes from Google Keep, or at least an html file.

Indeed I am currently trying to migrate from Keep to SealNotes, and copying all the notes by hand is quite painful.

Cheers !"
vishesh/sealnote,open,Add option to share any content from any other application to SealNote,[],"Hi there,

First of all great job for the app. Is is nice to have an opensource, ad-free, and secure app for notes on Android.

I am missing a big feature though, that is adding SealNotes in the Share/Send window.

_For example :_
I want to save a URL, or copy an image from firefox. I click on the Share button, I see many options (e.g. Keep, Whatsapp, Email ...), but not SealNotes.

This would be a very convenient way of adding new notes as well as migrating from Keep to SealNotes."
vishesh/sealnote,closed,Add buttons to get the app,[],"This PR adds two buttons to get the app easily on F-Droid and Google Play Store

Thanks for this app"
vishesh/sealnote,open,german translation,[],"
[string-de-sealnote-german.txt](https://github.com/vishesh/sealnote/files/854883/string-de-sealnote-german.txt)

@vishesh I did a translation into German from sealnote (see attachment). As I can't code I send you the translation this way and you can merge it if you like,"
vishesh/sealnote,open,Contacts notes?,[],"In addition to login information, you could add contacts notes? Es ""simple"": name, phone, email; ""complex"": address, picture, etc..??"
vishesh/sealnote,open,Sketch notes?,[],Hi! Is possible add an ability to create a sketch notes??
vishesh/sealnote,open,Checklist notes?,[],Hi! Is possible add an ability to create a checklist notes??
vishesh/sealnote,open,Audio notes?,[],Hi! Is possible add an ability to create an audio notes?
vishesh/sealnote,open,AMOLED black theme,[],"Hi, please add a black theme ""AMOLED"" for save the battery"
vishesh/sealnote,closed,Update strings.xml,[],fixed typo
