repository,state,title,label,body
joanpuigsanz/servdroid,closed,XMPP Server?,[],"I hope I do not ask idiotic, but it would be possible to add the ability to create a XMPP server for use it in combination with Conversations??
"
joanpuigsanz/servdroid,closed,Proxy support,[],"Add an ability to work with Orbot/I2P networks
"
joanpuigsanz/servdroid,closed,Remove google dependencies,[],"Remove dependencies from google play store
"
joanpuigsanz/servdroid,closed,"CONTINUE THE DEVELOPING, PLEASE",[],
joanpuigsanz/servdroid,open,mp4 file can not be played by generic VideoPlayer such as mxplayer or exoplayer,[],"mp4 file can not be played by generic VideoPlayer such as mxplayer or exoplayer. However that file can be played with local path.
"
joanpuigsanz/servdroid,closed,a,[],
joanpuigsanz/servdroid,open,Improved and completed Italian localization,[],"Translated the new strings, fixed some typos
"
joanpuigsanz/servdroid,closed,HTTPS support,[],"Hello,

Do you plan to add support for HTTPS connections ?

Regards,
"
joanpuigsanz/servdroid,closed,How to manager session in servdroid.web?,[],"Hi, I would use servdroid.web as HttpServer, I want a sessionmanager to manager client's session. How could I do in servdroid.web? 
"
joanpuigsanz/servdroid,closed,How to start server automatically  when app starts.,[],
joanpuigsanz/servdroid,closed,`mServiceHelper.getServiceController()` always return null,[],"Hi, I found `mServiceHelper.getServiceController()` always return `null` when I try to build a simple app according to README. It seems `onServiceConnected` is never called in https://github.com/joanpuigsanz/servdroid/blob/ef738242a56661a81790b5feff46d6aaeb2396a0/android/ServDroid.web/src/org/servDroid/helper/ServiceHelper.java#L62 

Any idea?
"
joanpuigsanz/servdroid,closed,Any plan to support HTTP live streaming aka HLS?,[],"Hi Buddy,

""servdroid"" serve HTML pages well.
I verified that the HLS can't be supported on version 0.2.6.

So is there any plan to support HLS in it?

Thanks,
fay
"
joanpuigsanz/servdroid,open,"Don't recognize ethernet interface, but works OK.",[],"I have Egreat U8 Android TV Box with WiFi and ethernet interface.

Server works fine on both interfaces, but on eth can not read ip adress and show ""0.0.0.0:8080"" 

Have a nice day

Original issue: https://code.google.com/p/servdroidweb/issues/detail?id=22&colspec=ID%20Status%20Summary
"
joanpuigsanz/servdroid,closed,java.lang.IllegalStateException (v1.0.2),[],"java.lang.IllegalStateException: Fragment StartStopFragment{406c48e0} not attached to Activity
at android.support.v4.app.Fragment.getResources(Fragment.java:571)
at android.support.v4.app.Fragment.getText(Fragment.java:583)
at org.servDroid.ui.fragment.StartStopFragment.setUrlText(StartStopFragment.java:155)
at org.servDroid.ui.fragment.StartStopFragment.access$200(StartStopFragment.java:46)
at org.servDroid.ui.fragment.StartStopFragment$1.run(StartStopFragment.java:106)
at org.servDroid.helper.ServiceHelper.runRunnablesOnConnect(ServiceHelper.java:153)
at org.servDroid.helper.ServiceHelper.onServiceConnected(ServiceHelper.java:67)
at android.app.LoadedApk$ServiceDispatcher.doConnected(LoadedApk.java:1064)
at android.app.LoadedApk$ServiceDispatcher$RunConnection.run(LoadedApk.java:1081)
at android.os.Handler.handleCallback(Handler.java:587)
at android.os.Handler.dispatchMessage(Handler.java:92)
at android.os.Looper.loop(Looper.java:130)
at android.app.ActivityThread.main(ActivityThread.java:3685)
at java.lang.reflect.Method.invokeNative(Native Method)
at java.lang.reflect.Method.invoke(Method.java:507)
at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:867)
at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:625)
at dalvik.system.NativeStart.main(Native Method)
"
joanpuigsanz/servdroid,closed,Bad support of SVG file,"[Label(name=""bug"")]","Original ticket: https://code.google.com/p/servdroidweb/issues/detail?id=21

The content type of svg files is wrong (application/octet-stream instead of image/svg+xml) and these files can't be display on client side (browsers). Here a copy of the same request on servdroidweb and apache.

ServDroidweb :

Request URL:http://192.168.1.27:8080/WU/clsol/resources/images/first.svg
Request Method:GET
Status Code:200 OK
Request Headersview source
Accept:image/webp,_/_;q=0.8
Accept-Encoding:gzip,deflate,sdch
Accept-Language:en-US,en;q=0.8,fr;q=0.6
Cache-Control:no-cache
Connection:keep-alive
Host:192.168.1.27:8080
Pragma:no-cache
Referer:http://192.168.1.27:8080/WU/
User-Agent:Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.76 Safari/537.36
Response Headersview source
Content-Length:10945
Content-type:application/octet-stream
Date:Mon, 23 Sep 2013 23:05:53 CEST
Expires:Tue, 24 Sep 2013 00:05:53 CEST
Last-Modified:Sat, 21 Sep 2013 22:47:04 CEST
Server:ServDroid server

Apache

Request URL:http://jc-vaio:8085/WU/clsol/resources/images/first.svg
Request Method:GET
Status Code:200 OK
Request Headersview source
Accept:image/webp,_/_;q=0.8
Accept-Encoding:gzip,deflate,sdch
Accept-Language:en-US,en;q=0.8,fr;q=0.6
Cache-Control:no-cache
Connection:keep-alive
Host:jc-vaio:8085
Pragma:no-cache
Referer:http://jc-vaio:8085/WU/
User-Agent:Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/29.0.1547.76 Safari/537.36
Response Headersview source
Accept-Ranges:bytes
Content-Length:10945
Content-Type:image/svg+xml
Date:Mon, 23 Sep 2013 21:11:18 GMT
ETag:W/""10945-1379497136000""
Last-Modified:Wed, 18 Sep 2013 09:38:56 GMT
Server:Apache-Coyote/1.1

Besides that servdroidWeb is perfect for me. Congratulation
"
joanpuigsanz/servdroid,closed,Fix report from google play for 1.0.2,"[Label(name=""bug"")]","java.lang.RuntimeException: Unable to start activity ComponentInfo{org.servDroid.web/org.servDroid.ui.activity.MainActivityTwoPanes}: java.lang.NullPointerException
at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:1956)
at android.app.ActivityThread.handleLaunchActivity(ActivityThread.java:1981)
at android.app.ActivityThread.access$600(ActivityThread.java:123)
at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1147)
at android.os.Handler.dispatchMessage(Handler.java:99)
at android.os.Looper.loop(Looper.java:137)
at android.app.ActivityThread.main(ActivityThread.java:4424)
at java.lang.reflect.Method.invokeNative(Native Method)
at java.lang.reflect.Method.invoke(Method.java:511)
at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:784)
at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:551)
at dalvik.system.NativeStart.main(Native Method)
Caused by: java.lang.NullPointerException
at org.servDroid.ui.fragment.StartStopFragment.startServer(StartStopFragment.java:130)
at org.servDroid.ui.fragment.StartStopFragment.onCheckedChanged(StartStopFragment.java:90)
at android.widget.CompoundButton.setChecked(CompoundButton.java:125)
at android.widget.ToggleButton.setChecked(ToggleButton.java:72)
at android.widget.CompoundButton.onRestoreInstanceState(CompoundButton.java:343)
at android.view.View.dispatchRestoreInstanceState(View.java:9939)
at android.view.ViewGroup.dispatchRestoreInstanceState(ViewGroup.java:2324)
at android.view.View.restoreHierarchyState(View.java:9917)
at android.support.v4.app.Fragment.restoreViewState(Fragment.java:417)
at android.support.v4.app.FragmentManagerImpl.moveToState(FragmentManager.java:933)
at android.support.v4.app.FragmentManagerImpl.moveToState(FragmentManager.java:1088)
at android.support.v4.app.FragmentManagerImpl.moveToState(FragmentManager.java:1070)
at android.support.v4.app.FragmentManagerImpl.dispatchActivityCreated(FragmentManager.java:1861)
at android.support.v4.app.FragmentActivity.onStart(FragmentActivity.java:547)
at com.github.rtyley.android.sherlock.roboguice.activity.RoboSherlockFragmentActivity.onStart(RoboSherlockFragmentActivity.java:46)
at android.app.Instrumentation.callActivityOnStart(Instrumentation.java:1133)
at android.app.Activity.performStart(Activity.java:4475)
at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:1929)
... 11 more
"
joanpuigsanz/servdroid,closed,Fix report from google play for 1.0.2,"[Label(name=""bug"")]","java.lang.RuntimeException: Unable to start activity ComponentInfo{org.servDroid.web/org.servDroid.ui.activity.MainActivityTwoPanes}: java.lang.NullPointerException
at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:2180)
at android.app.ActivityThread.handleLaunchActivity(ActivityThread.java:2230)
at android.app.ActivityThread.handleRelaunchActivity(ActivityThread.java:3692)
at android.app.ActivityThread.access$700(ActivityThread.java:141)
at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1240)
at android.os.Handler.dispatchMessage(Handler.java:99)
at android.os.Looper.loop(Looper.java:137)
at android.app.ActivityThread.main(ActivityThread.java:5039)
at java.lang.reflect.Method.invokeNative(Native Method)
at java.lang.reflect.Method.invoke(Method.java:511)
at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:793)
at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:560)
at dalvik.system.NativeStart.main(Native Method)
Caused by: java.lang.NullPointerException
at org.servDroid.ui.fragment.LogFragment.fillLogList(LogFragment.java:139)
at org.servDroid.ui.activity.MainActivityTwoPanes.onStartStopButtonPressed(MainActivityTwoPanes.java:200)
at org.servDroid.ui.fragment.StartStopFragment.startServer(StartStopFragment.java:140)
at org.servDroid.ui.fragment.StartStopFragment.onCheckedChanged(StartStopFragment.java:90)
at android.widget.CompoundButton.setChecked(CompoundButton.java:126)
at android.widget.ToggleButton.setChecked(ToggleButton.java:73)
at android.widget.CompoundButton.onRestoreInstanceState(CompoundButton.java:373)
at android.view.View.dispatchRestoreInstanceState(View.java:12089)
at android.view.ViewGroup.dispatchRestoreInstanceState(ViewGroup.java:2588)
at android.view.View.restoreHierarchyState(View.java:12067)
at android.support.v4.app.Fragment.restoreViewState(Fragment.java:417)
at android.support.v4.app.FragmentManagerImpl.moveToState(FragmentManager.java:933)
at android.support.v4.app.FragmentManagerImpl.moveToState(FragmentManager.java:1088)
at android.support.v4.app.FragmentManagerImpl.moveToState(FragmentManager.java:1070)
at android.support.v4.app.FragmentManagerImpl.dispatchActivityCreated(FragmentManager.java:1861)
at android.support.v4.app.FragmentActivity.onStart(FragmentActivity.java:547)
at com.github.rtyley.android.sherlock.roboguice.activity.RoboSherlockFragmentActivity.onStart(RoboSherlockFragmentActivity.java:46)
at android.app.Instrumentation.callActivityOnStart(Instrumentation.java:1164)
at android.app.Activity.performStart(Activity.java:5114)
at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:2153)
... 12 more
"
joanpuigsanz/servdroid,closed,Add a navigation bar in the webView fragment,"[Label(name=""enhancement"")]","The WebView Fragment has not any navigation bar. It could be nice to add one to allow the user to navigate easily in to the web page
"
