repository,state,title,label,body
richsmith/sexytopo,open,Range for inclination,[],"When using a total station, the inclination goes from 0 for level to 90 for up, however it works on a 360 scale so 270 is down and 359.9.... is nearly level again. The acceptance of this type of reading would seem reasonable and would allow the principle of maintaining the readings as they are taken.
"
richsmith/sexytopo,open,No -neg on manual input,[],"On the Samsung galaxy tab 5, android 6.0.1
When entering a leg or splay manually there is no way to get to the -ve key. there is the -ve symbol above the decimal, however holding it does not bring it up as an option. The keyborad that is brought up is the 10 numerals with the 2 keys to the left and right of the 0 being blank. to the left and right of the numerals are for keys, backspace, Next, ./- and clipboard/settings. The decimal is only available for Dist and Azimuth (which is fine) it changes to ./- for Inclination.
On the tesco tablet a bigger keyboard is shown and this is not a problem"
richsmith/sexytopo,open,point multi-line text,[],"The point text entry dialog allows entry of multi-line text, new line being activated by using return key.  However the text is rendered as a single line.  Perhaps this is a bug?
I would prefer multi-line text to render as multi-line text."
richsmith/sexytopo,open,File Rename,[],"I would like a > File > Rename menu option please.
File > Save As... followed by > File > Delete is a work around, but it is very cumbersome when there is a whole set of files to rename.
I guess consideration should be given to the Application behaviour with respect to linked files when a linked file is renamed, 'saved as' or deleted."
richsmith/sexytopo,open,Text in drawings is not exported to Therion format,[],"All data collected and created with ST should be exported.
However text point entries in drawings is not exported to Therion format.  Not sure how this would be done, as I assume there is no direct equivalent in xvi format (I don't know).  The text entity could be parsed direct to a scrap (with point label) in the Therion th2 file, but this would be a bit messy.  Firstly all the labels would be in one arbitrary scrap, which may have no relation to the way the survey/drawing author wants to set things out, and it may confuse inexperienced Therion users.
But mainly I don't like the 'raw survey notes in scrap' idea because it blurs the line between survey notes and subsequent drawing or data edits (which is one reason why I believe TopoDROID is flawed). The ideal would be to export the ST drawing text entities into xvi format and have it parse to Therion (and other export formats)."
richsmith/sexytopo,closed,DistoX view should be accessible mid-session,[],"The DistoX view with pairing and connection information is an inspired, informative and effective approach.
However once the Table, Plan or Elevation views are activated by the user, there seems to be no way of going back to the DistoX view mid-session.  Taking a punt that connection issues will occur from time to time, it would seem reasonable that the user be able to view the bluetooth and connection status and log.  That would save all sorts of pain and uncertainty that i have experienced with both PocketTopo and TopoDROID."
richsmith/sexytopo,open,Inverse colour (should a dark environment be encountered),[],"Low priority enhancement
A dark theme should be an option, to replace the current light theme.  And like Google maps, there should be the option for it to automatically switch, in response to changing light levels (although head lamps could make this problematic). "
richsmith/sexytopo,closed,Add logo/icon files,[],
richsmith/sexytopo,closed,Logo Design,[],"Hi @richsmith , I'm a graphic designer, after I review your project, I'm interested in your project and I want to contribute by creating a logo/icon for your project. What do you think?"
richsmith/sexytopo,open,thconfig - Therion Export,[],"The export pdf are useful, however, -layout local refers to a configuration layout called local, that does not exist in the file, so it will not run. Remove this part is the easiest solution, or add in a layout local  a suggestion would be

layout local
debug off
map-header 0 0 off
#symbol-hide group cave-centreline
endlayout

The export map should also probably be commented out, as they do not work until something is drawn. Usually the first thing a surveyor wants to check is the skeleton view, best created using

export model -fmt survex -o NAMEth.3d

I personally like adding th to the name of my files produced by Therion so I know which program has created them, so if a bug occurs I can work out where.
"
richsmith/sexytopo,open,Automatically adding scraps -  Therion Export,[],"This is easy to do and a quick win to overcome a tedious manual task, especially for cross section that are not labelled, would need a screen to ask about naming conventions, using the topParser method would be a good start
![namingconvensions](https://user-images.githubusercontent.com/13356509/40745201-c00bb046-644e-11e8-8c3b-4080d5f23d80.png)
"
