repository,state,title,label,body
openintents/shoppinglist,open,Adb backup not working on Oreo,[],"Hi,

Adb backup is not working on Oreo. The created backup file does not contain useful data and is 47 bytes in size. As a quick workaround, I removed the line
   android:backupAgent=""ShoppingBackupAgent""
from AndroidManifest.xml.
This seems to fix the issue: I successfully created a backup and restored it; seems to contain all necessary data. Not sure if anything relevant got left behind in ShoppingBackupAgent.java.
"
openintents/shoppinglist,closed,Fix: radio button in left drawer not updating (#49),[],Refresh UI so that radio button is actually toggled when changing shopping mode in left drawer. (Bug visible on Nougat and Oreo)
openintents/shoppinglist,open,Show item name in delete confirmation dialog,[],"Sorry need to re-open this because the underlying branch was deleted.
Original text:
I always found it risky to delete items because the confirmation dialog would not show me which item I was about to delete. This patch makes the item name show in the confirmation dialog box.

"
openintents/shoppinglist,open,Fix: ensure previous mMode is stored when app is stopped in search mode (#59),[],Fix for issue (#59). See comments in the code. What do you think?
openintents/shoppinglist,open,Shopping state not preserved when app is stopped during search,[],"How to reproduce: make sure you are using layout ""search bar at top"". Make sure you are in mode ""Shopping"". Now click the (+) Search symbol in top bar. Type something. Now rotate the device. Result: you have exited search, but are now in ""Pick items"" mode. Expected: should return to mode before search, which was ""shopping"".

This occurred to me several times when opening large apps and Android reclaimed memory. After restarting OI Shopping, I then had to switch mode back manually, which is a bit annoying.

Working on a fix.

 "
openintents/shoppinglist,open,When editing an item name copy and paste only works for the first item,[],"If you go into an item long press the text and copy and then go into a different item and long press the text you don't get the copy and paste menu.

The slightly annoying work-around is to press back to exit - upon restarting copy works again.

I frequently use this to put headers in the notes for the items they relate to, so you don't have to back out again to see what you are editing.

Cheers

Jonny"
openintents/shoppinglist,open,Sending a list doesn't include the note.,[],"Hi,

I really love the app, I mostly use it to organise a load of todo lists in a sortof kanban style way.

The integration with the notepad is really useful and I've used it heavily in a list I use to keep track of what I've been planting on my allotment (the item names are bed names + what is currently planted and the notes contain the history + observations). 

I've got a lot of really useful information in there that I'd like to at least back up and at some point in the future probably use for my own project to help link it together - so I need to be able to export it.  

Previously I was using the tags to store the information (which do get exported) but that became cumbersome - the editing was fiddly when there was a lot of text and the notepad is much better suited to it.

I'd be happy to have a go at implementing myself if you want to point me in the right direction.

Cheers

Jonny"
openintents/shoppinglist,closed,Show item name in delete confirmation dialog,[],"I always found it risky to delete items because the confirmation dialog would not show me which item I was about to delete. This patch makes the item name show in the confirmation dialog box.

Update: got some hard to reproduce NullPointer Exceptions on my real device; therefore adding as many checks as possible."
openintents/shoppinglist,closed,Show item name in delete confirmation dialog 2nd,[],"@friedger: This is probably what you were after.

I always found it risky to delete items because the confirmation dialog would not show me which item I was about to delete. This patch makes the item name show in the confirmation dialog box."
openintents/shoppinglist,closed,Show item name in delete confirmation dialog 2nd,[],"@friedger: This is probably what you were after.

I always found it risky to delete items because the confirmation dialog would not show me which item I was about to delete. This patch makes the item name show in the confirmation dialog box.
"
openintents/shoppinglist,closed,Show item name in delete confirmation dialog,[],I always found it risky to delete items because the confirmation dialog would not show me *which* item I was about to delete. This patch makes the item name show in the confirmation dialog box.
openintents/shoppinglist,open,Fix issue #50: update title/subtitle when search is dismissed,[],"Fix for issue #50, second attempt"
openintents/shoppinglist,closed,Fix issue #50: update title/subtitle when search is dismissed,[],Fix for issue #50 
openintents/shoppinglist,open,Search in action bar leads to inconsistent view mode,[],"Using OI shopping 2.1.3 (commit 9b420290daafacb64b8aba5d3b163d23db7a369f) Search in action bar leads to inconsistent view mode  (shopping vs pick items).

How to reproduce:
1. Create a shopping list as below:
![pic 1](https://user-images.githubusercontent.com/9285448/34033794-0c859424-e17c-11e7-87d1-cbf47df238d4.png)

**2. Switch to Shopping mode (important!)**
3. Tap the (+) in the action bar and type ""A"" into search field
4. Tap on Aaa
![pic 2](https://user-images.githubusercontent.com/9285448/34033830-36154406-e17c-11e7-9292-a4aea2bf3e35.png)
5. In ""Edit item"", tap on Note
6. Tap Back, tap OK
7. Tap the (x) next to the search field in action bar twice

Result: list view now shows ""Pick items"" at the top, although it is in Shopping mode. (REMOVED_FROM_LIST items are not shown). See below.
![pic 4](https://user-images.githubusercontent.com/9285448/34033921-9d6f67e4-e17c-11e7-81d9-5ace51285000.png)
Also tap the bars menu top left: it shows shopping mode as well, whereas the action bar shows  ""Pick items"" mode.


"
