repository,state,title,label,body
jberkel/sms-backup-plus,open,single thread restore,[],"### Expected behaviour
If a single thread is deleted after backup, can a restore be done to put the messages back again?  Wondering if single thread restore can be done without affecting existing messages.
### Actual behaviour

### Steps to reproduce the behaviour
Backup sms
delete all messages in a single thread on the phone
star the backup thread in Gmail
restore the starred, deleted thread without affecting other messages (is it possible?)
### Please specify the following:

* Android version
8.1.0 OPWS28.3.4
* Phone model / brand
Moto x4
* SMS Backup+ version installed
1.5.11
* Messaging app
Google Messages
"
jberkel/sms-backup-plus,open,Is this project active?,[],Looks like no response from developers to any issues for a while now.
jberkel/sms-backup-plus,open,permanently delete email??,[],"When I hit ""connect"" after downloading SMS Backup+ and choosing my Google account, I get the message that SMS Backup+ would like to ""Read, compose, send, and permanently delete all your email from Gmail"" instead of what I expected to see ""View and manage your mail."" I have no interest in allowing the app to delete my email. If this is a tech-y joke, please revise your statement so as to allow us non-tech-y people to peacefully use the app without fear of a hack. If this is not a joke, what have I downloaded incorrectly?

Thanks for your help."
jberkel/sms-backup-plus,open,Additional donation options?,[],"I'd like to donate but I'm using the F-Droid version of the app. Is there other methods of donation for those not using the Google Play version?

If there is, would you mind publishing these other methods in the README, and optionally on the F-Droid app listing?

Thanks for the great app, I've used it accross many devices!"
jberkel/sms-backup-plus,open,"After I backup my sms "" last backed up still reads 2015""",[],"I have an android galaxy s8+ been using this program since 2013 without issues till now. Now I keep getting a last backed up date of the year 2015 no matter how many times sms messages are backed up so I have many duplicates of the same sms messages. 
"
jberkel/sms-backup-plus,open,Auto backup not running Samsung S7,[],"Before you report your issue, please consider perusing the [https://github.com/jberkel/sms-backup-plus#faq](FAQ) and searching the issues page to see if it has already been reported.

### Expected behaviour: Expect text messages to be backed up 1 minute after receiving them.

### Actual behaviour: No items are being backed up automatically. If I click the Backup button it backs up the items without any issues.

### Steps to reproduce the behaviour: Send a text message and then it is not backed up.

### Please specify the following:

* Android version: 8.0.0
* Phone model / brand: Samsung S7
* SMS Backup+ version installed: 1.5.11
* Messaging app: Downloaded 'Messages' app with blue icon
"
jberkel/sms-backup-plus,open,Customizing number of items restored,[],"I'd really like to be able to choose the number of items restored. The current options are 100, 200, 500, or all. I think for most people this is a little silly. 500 SMS messages represents a week or two. It would be nice if I could choose my own number like 5000."
jberkel/sms-backup-plus,open,Previously Backed-up Outgoing Messages Are Disappearing,[],"I don't know how this is happening, but emails for messages on my end going back at least months have been disappearing from my SMS folder.

This was never an issue in all the years I have been using this. I want the messages back.


Android 8.0.0
LG V20
SMS Backup+ 1.5.11
Standard Messaging Application for Android"
jberkel/sms-backup-plus,open,unknown.person & restore question,[],"I possibly have two issues, though I am hoping that solving one of them might solve the other.

A number of old texts appear in my gmail sms folder as telephonenumber@unknown.person. The person is a known contact, and most texts from that same number appear correctly with the person's contact name. Correct ones appear on dates before, after, and interspersed with the ones that appear as ""unknown."" 

A few of these ""unknown"" texts are still on my phone, but most of them are not (that I think is my fault for having had a limit set in my messaging app). I would like to do two things: 1) correct the ""unknown"" to the person's name, and 2) restore the older messages to my phone. I am hoping that by restoring them to my phone, where they could see my contact list, and then backing them up again, I would be able to fix the ""unknown"" thing. 

However, I cannot seem to get Restore to see these emails. I have removed the ""SMS"" label from my tens of thousands of other backed up messages and left only the 102 from ""unknown"" with the SMS label and then set Restore to ""all"" (yes, ""restore sms"" is checked). But when I run Restore, it says ""successfully restored 0 items (0 dups)."" 

Update: I just received three new texts. They got labeled SMS. I ran backup. Worked great. Then I ran restore. And got ""successfully restored 0 items (3 dups)."" Which is also accurate. Yay. So the function seems to be, well, functioning, except that it won't see the SMS backups from ""unknown."" Can you help?

Note: I also tried starring all the backups from unknown and setting ""restore"" to ""starred items only"" but got the same ""successfully restored 0 items (0 dups."" Then I tried adding a new label to these backups and changing the SMS Backup+ label for backup to that new label. Nope, didn't help.

I am out of ideas, and
Looking forward to your advice!

* Android version: 5.0.1
* Phone model / brand Samsung Galaxy: S4
* SMS Backup+ version installed: 1.5.11
* Messaging app: stock
"
jberkel/sms-backup-plus,open,scheduled backup and Tasker 3rd party both not working,[],"Before you report your issue, please consider perusing the [https://github.com/jberkel/sms-backup-plus#faq](FAQ) and searching the issues page to see if it has already been reported.

### Expected Behaviour 
Automated backups should run on the schedule selected, and after X time has passed when receiving a text.  3rd party app calls like Tasker should execute SMS Backup when the plugin is called.  *Manual backups work without issue

### Actual behaviour
When the schedule is enabled backups should be performed after the elapsed time (30 min) and after the elapsed time of a text message being received.  Also, when Tasker is used to call the 3rd party plugin to run backup, it should execute.  If manual backup is performed it works without issue.

In the log this error is often seen when calling from Tasker:
Backup requested (3rd party)
08-31 11:54 Backup skipped, no connectivity



### Steps to reproduce the behaviour
Does not work on Samsung S7 or S9 Note.  Set and enable scheduled backups, send texts to the phone from another device.  Wait for the period of time to elapse that should have triggered backups (two hours to test the 30 min schedule for example).

### Please specify the following:

* Android version 8.1.0
* Phone model / brand  Samsung Note 9
* SMS Backup+ version installed 1.5.11
*Textra 
[sms_backup_plus.log](https://github.com/jberkel/sms-backup-plus/files/2389707/sms_backup_plus.log)

"
