repository,state,title,label,body
jpeddicord/speedofsound,open,Problem with notification and stop,[],"I set auto-toggle on Bluetooth, only my car Bluetooth.
Today, I stopped the car, so the Bluetooth.
And speedofsound did not stop automatically, or at least the notification was still there.
Clicking stop in notification did nothing.
In app the tick was not checked.
I had to tick then untick to make the notification disappear.
Let me know if I can help you by sending a log or testing something.
It is a random issue, I don't remember having encountered this before."
jpeddicord/speedofsound,closed,Add adaptive icon,[],"I think it would be good to follow the trend and implement this, for material design purposes.
[Here](https://developer.android.com/guide/practices/ui_guidelines/icon_design_adaptive.html) a short explanation on how to do this.
If you don't have Android 8 hardware, you can install a modded pixel launcher like [Rootless pixel launcher](https://github.com/amirzaidi/launcher3/releases) or [Lawnchair](https://play.google.com/store/apps/details?id=ch.deletescape.lawnchair.plah&hl=fr), which backport this feature."
jpeddicord/speedofsound,closed,Translations suggestions for english,[],"Edits mentionned in #28.
Added a few more, mostly to clarify and homogenize maximum and minimum volume adjustments sections.
I removed the word Optional from one of the latest strings. I felt it was the more complicated option in term of formulation, and that it was enough obvious this option is optional."
jpeddicord/speedofsound,closed,French translation,[],"Hello,
I requested the addition of french language on Transifex some times ago.
Would you mind to accept the language on Transifex, so I can make the translation ?
Regards."
jpeddicord/speedofsound,closed,Volume increment/decrement,"[Label(name=""enhancement"")]","This is sort of a problem, sort of a feature request.

My primary use case is riding a bike, but this would apply just as much to other modes of transport.

Use case: I'm riding along with a friend at 20kph (in which case the app would set my volume to about 50%), and I have the volume manually turned down (to about 25%) from the automated settings so we can talk. If we slow down, the volume could actually increase abruptly; the opposite of what I want. OTOH, I'm riding at 20kph (again, the app would set my volume to about 50%) along a particularly loud road, in which case I might have the volume turned up (to about 75%) from the automated settings; when I speed up, the volume could actually decrease abruptly; again, the opposite of what I want.

The way to solve this: Instead of just converting speed into a percentage of full volume and making changes to the absolute volume level, the app should (ideally, perhaps as an optional mode) adjust the volume by incrementing and decrementing the volume. eg applying volume adjustments of ""+1"" or ""-1"", rather than setting volume level eg ""25% of maximum"" or ""50% of maximum"".

This would allow sensible volume adjustments in the two scenarios above, increasing the volume when I go faster and decreasing the volume when I go slower (ideally with configurable upper and lower ""bounds"" or ""limits""; ie I don't want to mute the sound when I come to a stop, nor do I want to blow out my headphones/speakers/ears while going fast) while still allowing sensible use of manual volume adjustment."
jpeddicord/speedofsound,closed,"Bluetooth devices and ""music enabled"" Bluetooth devices","[Label(name=""bug"")]","(1) I can't select my ""UE BOOM 2"" as a ""music enabled"" Bluetooth device. But I don't even want to; (2) I want to select my ""Edge 1000"" (bike computer) as a Bluetooth device so the app will switch itself on/off depending on whether or not I'm on the bike (with the Edge-1000 turned on).

Making the app respond to *any* Bluetooth device will solve both of those problems.

Thanks..."
jpeddicord/speedofsound,closed,switch on Bluetooth automatically when driving by car (by GPS or GSM [prefered] speed),[],"Most of the day I do not need bluetooth and therefore bluetooth is switched off.
When I drive by car I have to enable bluetooth manually and somethimes I forget it to enable.

**Would it be possible to switch on bluetooth at a defined driving speed for example 30km/h or faster?
And switching it off again if speed is lower then for example 25km/h after a delay of 15minutes?**

My GPS is normally disabled, too and as an alternative I use the less precise GSM location by cell id ( https://github.com/n76/Local-GSM-Backend/blob/HEAD/README.md ).

Theroretically the speed calculation should work with GSM-cell-id-locations in the same way as with GPS, but I suppose that the speed calculation can only give you a decent speed result after a few kilometers.

But switching on bluetooth automatically after a few kilometers would be much better for me then forgetting it completely.
"
jpeddicord/speedofsound,closed,Split Google Play DEX up and use only Maps,"[Label(name=""cleanup"")]","http://android-developers.blogspot.com/2014/12/google-play-services-and-dex-method.html

Should save a not-insignificant amount of space in the APK.
"
jpeddicord/speedofsound,closed,Support OBD-II scanners as a speed source,"[Label(name=""enhancement"")]","Some OBD2 tools support Bluetooth natively, and are rather cheap. SoS could optionally connect with these and use them as a speed source instead of GPS, which would greatly improve battery life.
"
jpeddicord/speedofsound,closed,SpeedSliderPreference should update converted value on save,"[Label(name=""cleanup"")]","This should happen in the preference class, instead of happening via listener. Removes a silly layer of indirection.
"
