repository,state,title,label,body
sudowars/sudowars,open,App hangs or crashes when creating a multiplayer game,"[Label(name=""bug"")]","In the current version 1.1, the app often hangs after the following steps:
1. create new multiplayer game
2. other player connects (status says 'connected')
3. other player hits the ready button
4. you hit the ready button

It's not 100% reproducible but it hangs ~70% of the time (tested numerous times with @fitefoe :smiley:). Devices used for testing are Galaxy Nexus (cyanogenmod 10.2.1) and Nexus 4 (cyanogenmod 10.1).

Otherwise: great game! :smile:
"
sudowars/sudowars,open,Google Games integration,"[Label(name=""enhancement""), Label(name=""question"")]","Maybe we can do some cool things with this ""Google Games""?

Share settings, statics or highscore list…
"
sudowars/sudowars,open,Hidden progress bar on Android 3,"[Label(name=""bug"")]","The new progress bar in MultiplayerMenu 09982fb93f44af043d9d45a98d65f1714010fdf9 is hidden on some Android 4 devices (Samsung device and firmware).
"
sudowars/sudowars,open,Work internal with MAC address,"[Label(name=""bug"")]","At the moment we use the device name to differentiate the two multiplayer game participant. This makes trouble with two same naming devices. The MAC address has the advantage to be unique.
"
sudowars/sudowars,open,Harder difficulty,"[Label(name=""enhancement"")]","The difficulty ""Hard"" is too easy. So we need one or more harder difficulties than ""Hard"".

For example:
- Very hard
- Hardcore
- Nightmare
"
sudowars/sudowars,open,New main menu,"[Label(name=""enhancement"")]","We need a fresh cool main menu.
"
sudowars/sudowars,open,"App hangs, then crashes, on first start","[Label(name=""bug"")]","1. `adb install Sudowars.apk`
2. Start app for first time
3. Click on _Singleplayer_
4. Click on _Start Game_
5. App hangs _(Activity Einzelspieler reagiert nicht)_
6. App crashes _(Die Anwendung wurde unerwartet beendet)_

App works when starting it again.

HTC Dream, Android 2.2.3
"
sudowars/sudowars,open,Animate new opponent cell,"[Label(name=""enhancement"")]","At the moment cells of an opponent, which are set recently, are colourise for a few seconds. This should be supported through a flash animation, which decay slow.
"
sudowars/sudowars,open,Wi-Fi Direct,"[Label(name=""enhancement"")]","In addition to Bluetooth we should add a [Wi-Fi Direct](http://developer.android.com/guide/topics/connectivity/wifip2p.html) mode.
"
sudowars/sudowars,open,Light Theme,"[Label(name=""enhancement"")]","We need a nice Light Theme in Holo style for sunny days.
"
sudowars/sudowars,closed,Feature/assistant back to first error merge with it's base,[],
sudowars/sudowars,closed,Feature/assistant thread,[],"This moves the assistant to its own thread, keeps the UI responsive while assistant is running. User Input is blocked with an errormessage whil a is running
"
sudowars/sudowars,closed,Crash with Docking station,"[Label(name=""bug"")]","The app will crash, if you give up a game and then disconnect the device from the docking station. It also will crash, if you connect the device after giving up.

> I/ActivityManager(  150): Displayed org.sudowars/.Controller.Local.Activity.SingleplayerPlay: +323ms
> E/AndroidRuntime(13724):    at org.sudowars.Controller.Local.Activity.Play.onCreate(Play.java:237)
> E/AndroidRuntime(13724):    at org.sudowars.Controller.Local.Activity.SingleplayerPlay.onCreate(SingleplayerPlay.java:81)
"
sudowars/sudowars,closed,Menu icons should use a dark theme on Froyo,"[Label(name=""enhancement"")]","The icons in the menu (surrender, undo, redo) should be dark on Android 2.2, because the UI theme is light grey.
"
