repository,state,title,label,body
wizmer/syncorg,open,insecure gradlew,[],"in case this project is still maintained: a minor fix would be required to increase build security. F-Droid lint complains:

```
Found plain HTTP URL for gradle repository:
build/com.coste.syncorg/SyncOrg/build.gradle
repositories {
    maven { url 'http://guardian.github.com/maven/repo-releases' }
gradle build uses plain HTTP URLs for repositories!  This is insecure!
https://max.computer/blog/how-to-take-over-the-computer-of-any-java-or-clojure-or-scala-developer/
```

Simply make that an `https` URL, the target supports that. Thanks!"
wizmer/syncorg,open,"Make URL ""clickable""?",[],"AFAICT, when I have a URL in the Org buffer, it's treated like any other chunk of text rather than turning it into a hyperlink.  Am I missing something?

Also, I can't see a way to copy some text (to paste it elsewhere, e.g. in a browser when that text is a URL).  So I guess these are either two feature requests, or two cases of me being a bit dense."
wizmer/syncorg,open,"Update gradle, Add JUnit",[],"Simple pull to get me started

Update gradle to 2.3.3 and add JUnit 4.11 testCompile dependancy"
wizmer/syncorg,open,Wiki updates,[],"Hi,
I did a fair work on the wiki before i realised that i couldn't create a pull request.
I converted it to .org files, made most of the links local and copied all the content from HACKING.md into 
contributing.org.

@wizmer have a look and see what you think: [wiki](https://github.com/D-sha/syncorg/wiki) "
wizmer/syncorg,open,Question: is development still proceeding?,[],"Just found SyncOrg recently and still struggling with setup and usage.  Has errors creating folder but worked around that with help from others in issue #31 but then ran into problem with subfolders (I have a dozen or so subfolders in a tree and it ended up recursing during setup and creating 2000+ folders and 20,000+ files which I'm now trying to remove).   So I'll just test this without folders and wait for it to be improved, but I see there hasn't been any checkins for half a year and no releases in almost a year.
Is development still happening, wizmer?   "
wizmer/syncorg,open,Creating/editing files/nodes,[],"Hey,
so I got syncorg working with #28 (syncing didn't work before, had to run the wizard everytime and choose a different parent folder). Awesome work, thanks a lot!

A question: I'm able to add a new file, name it, and add one node to it. However, I'm not able to add more nodes to that file or edit any nodes. All i can do is change TODO state.
Is this intended behaviour?

Second question: I created repos like in the tutorial, however git pull does not suffice to update. I have to go to the bare repo, do git fet origin master:master there, and then pull in my unbare repo. Is this normal or did I setup something incorrectly?"
wizmer/syncorg,closed,Custom #+TODO states deleted after syncing changes from phone,[],"The custom TODO states are still available on the phone, but on a computer, after restart or  'refresh local setup', they don't work anymore.

"
wizmer/syncorg,open,Custom #+TODO states deleted after syncing changes from phone,[],"The custom TODO states are still available on the phone, but on a computer, after restart or  'refresh local setup', they don't work anymore.

"
wizmer/syncorg,closed,Get the Multidex stuff,[],Syncing back my master branch
wizmer/syncorg,closed,Fixed timestamp import off by one for month field.,[],"IDK whether I am the only one experiencing this problem, but whenever I import scheduled items from my desktop, the seem to be off by one month. I wrote a test that shows the issue for me and changed the import to add one to the month field."
