repository,state,title,label,body
dmfs/tasks,open,OpenTasks loses tasks when force stopped,[],"On OnePlus 6T with Android 9.0 using DAVDroid to sync to a Nextcloud backend.

After a while (no idea how much time it takes though. Definitely hours) the widget will stop showing current tasks. Pressing on the widget will open the OpenTasks app with all the tasks present there, but they will not show up on the widget. The tasks will be there after I recreate the widget but will disappear after a while."
dmfs/tasks,open,RELATED-TO field removed when marking as completed,[],"I use a task manager that has support for subtasks using RELATED-TO. When I mark such a task as completed in OpenTasks, after updating, it turns out the RELATED-TO field has been removed. Can it be that OpenTasks is responsible, or is it the sync adapter? (I currently use DavDroid.)"
dmfs/tasks,open,Request account visibility,[],"Android 8 adds some limitations on account visibility for apps which target SDK level 26+.
In particular an app no longer sees available accounts until it has been granted a certain ""visibility"" on that account.
As a result, OpenTasks now removes task lists, even though the account they belong to still exists.

Sync apps should call [setAccountVisibility](https://developer.android.com/reference/android/accounts/AccountManager#setAccountVisibility(android.accounts.Account,%20java.lang.String,%20int)) for every account they wish to sync to OpenTasks.

We need to decide whether OpenTasks should also ask the user for access to that account. The problem is that we'll have to do that for every account which no longer exists because we won't be able to distinguish between accounts ""invisible"" to OpenTasks and accounts that don't exist without tracking the accounts we have been granted access to."
dmfs/tasks,closed,[Feature request] Sharing task lists,[],Would be awesome if we would be able to share task lists with other OpenTasks users. I'm still stuck in a proprietary app because of this.
dmfs/tasks,closed,"Auto-Determine release channel, implements #725",[],Update the publish configuration to derive the publishing track form the version number.
dmfs/tasks,closed,Determine publishing track by version number format,[],"The idea is to determine the right track from the git version description.
In general we have three different cases:

* 1.1.14-1-g0b73bd7b-dirty

  A dirty working tree goes the to the internal channel. That's not something that should be published to any user

* 1.1.14-1-g0b73bd7b

  An untagged commit goes to the alpha channel.

* 1.1.14

  A tagged commit goes to the beta channel. From where it can be published as a release.

We never publish directly to the release channel."
dmfs/tasks,closed,Fix wrong ID being used. Fixes #723,[],"In an earlier commit we changed how the lists are loaded. Instead of loading them from the tasks table we now load them from the instances table. This was meant to prepare support for recurring tasks.

Unfortunately we missed on line where we were still using the `_id` column to get the task id (when we should actually use the `task_id` column now). This didn't cause any problem as long as the task id and the instance id where in sync (hence it wasn't an issue while testing). However, under certain circumstances this assumption is no longer true and caused an illegal Task URI to be loaded when clicking a task.

The list now uses the `task_id` column to create the task URI to show."
dmfs/tasks,closed,Empty details screen when opening a task with 1.1.14,[],
dmfs/tasks,closed,"Add plugin to publish app, #718",[],This adds a plugin which allows for publishing the app autimatically to Google Play.
dmfs/tasks,closed,"Add signing config, implements #720",[],"Adds an optional signing config, which is ignored if no keystore property is present."
dmfs/tasks,closed,Add signing configuration to gradle build,[],
dmfs/tasks,closed,Update SDK target level to 26. Implements #703,[],"This also updates the support library version to 26.1.0.
Due to changes in Android 8 we had to limit some background service and broadcast functionality. There are no limitations to the user experience though, but some planned features may require a different solution now (mostly because implicit broadcasts no longer work)."
dmfs/tasks,closed,Publish to Google Play from Gradle,[],Use this plugin to publish directly to Google Play: https://github.com/Triple-T/gradle-play-publisher
dmfs/tasks,open,Added trigger reason due to restart,[],
dmfs/tasks,open,Notification concept,[],"Since SDK level 26 the way notifications are handled has changed. In addition we had to make changes to the `NotificationUpdaterService` to cope with the new requirements for background & foreground services. We take this opportunity to revisit how notifications are handled. For this we need a concept which is to be worked out in the scope of this story.
"
dmfs/tasks,open,Support shortcuts,[],"See https://developer.android.com/guide/topics/ui/shortcuts
In a first step we could add support for a static shortcut to create a new task.
The second step could be to use ""pinned shortcuts"" to pin individual tasks to the home screen."
dmfs/tasks,closed,Attachments,[],"Add support for attachments, that can eventually be mapped to [draft-ietf-calext-caldav-attachments](https://tools.ietf.org/html/draft-ietf-calext-caldav-attachments-03)"
dmfs/tasks,open,Attendees,[],"OpenTasks information can be mapped to VTODO, and the latter can contain ATTENDEEs.

* Support ATTENDEEs for tasks."
dmfs/tasks,closed,"Partially restore 5f4e901, fixes #711",[],"Commit 5f4e901 contains a couple of changes which break the UI in that some elements don't respond to clicks anymore.
In particular the `focusable=""true""` attirbute seems to cause these issues. For now We simply revert the addition of these attributes.
In another story we should address the issue and fix the layout."
dmfs/tasks,closed,Clicking certain UI items is broken.,[],"Commit 5f4e90120eb76e2773134c1ceaae1a22dcc2ca62 broke some of the elements not accepting clicks anymore, e.g.:
* expanded lists can not be collapsed anymore
* toggling visible synchronized calendars doesn't work anymore"
dmfs/tasks,closed,Updated Dutch translation by Toon van Gerwen,[],"Updated version of #679 with different translation of ""task_classification""."
dmfs/tasks,closed,Erroneous handled checklist in task,[],"My wife accicently discovered a bug in the App (v.1.1.13):
When you create a task, add a new item without a name to its checklist and go back to the overview of tasks, the whole task is set to done, independently of its already un-/checked items."
dmfs/tasks,closed,Swedish translation,[],
dmfs/tasks,closed,Use color picker dialog. Fixes #590,[],This commit switches from using the color picker as an activity via the open intent to using the color picker as a dialog fragment. This means the color picker is fixed now and no external picker can be used. It's not clear if anyone actually did that though.
dmfs/tasks,closed,Always replace task details fragments instead of updating them. #624,[],Fix rotation issue after creating a task on a handset device.
dmfs/tasks,closed,"Add round and adaptive icons for Android 8, implements #593 and #592",[],"This adds adaptive icons for Android 8 and round icons for older Android versions which use them.
Also the bitmap icons are now moved from drawable to mipmap."
dmfs/tasks,closed,"Add permission group ""Tasks"".",[],"This commit adds a permission group for tasks. The permission group has a dediciated description which, for most languages, is derived from the write permission description.

@native speakers, please feel free to update these and bring them in line with the default translation."
