repository,state,title,label,body
termux/termux-api,open, Add JobSchedulerAPI,[],"I started making a termux-api class for JobScheduler, to provide a battery-friendly cron replacement.  Is this useful for others?

It doesn't have a termux-api-package script yet so I call it directly like this:
`/data/data/com.termux/files/usr/libexec/termux-api JobScheduler --ei job_id 1 --ei period_ms 900000 --ez charging true -es script $HOME/test.sh`

I also haven't enabled persistence, thinking this could be done just as easily with termux-boot.
"
termux/termux-api,open,add brightness mode,[],"I found that the brightness API does not work when my phone was set in auto brightness mode.

I added an intent extra in order to set the brightness to auto or manual."
termux/termux-api,open,Change app to use sockets with json instead of Intents [WIP],[],"This PR replaces the Broadcast Reciever with a service listening on a socket resulting in a much faster response (miliseconds instead of seconds).
JSON is sent over the `termux-input` socket and the results get returned on `termux-output`

This is more of a proof of concept for the time being a lot is not working/not yet implemented, I'm open to any feedback on how to improve this.

A test suite would be nice for testing all the APIs, any suggestions for how to implement that would be nice.

# Tested APIs
- [x] WifiAPI.java
- [x] AudioAPI.java
- [x] TorchAPI.java
- [x] ToastAPI.java
- [x] BatteryStatusAPI.java
- [x] CallLogAPI.java
- [x] BrightnessAPI.java - 
- [x] VolumeAPI.java
- [x] CameraInfoAPI.java
- [x] ContactListAPI.java    
- [x] NotificationListAPI.java
- [x] NotificationAPI.java      
- [x] SmsInboxAPI.java
- [x] VibrateAPI.java
- [ ] FingerprintAPI.java 
- [ ] PhotoAPI.java
- [ ] TextToSpeechAPI.java
- [ ] InfraredAPI.java - Can't test (no IR on my phone)
- [ ] SensorAPI.java
- [ ] KeystoreAPI.java
- [ ] ShareAPI.java
- [ ] LocationAPI.java
- [ ] MediaPlayerAPI.java
- [ ] SmsSendAPI.java
- [ ] MediaScannerAPI.java
- [ ] SpeechToTextAPI.java
- [ ] WallpaperAPI.java
- [ ] ClipboardAPI.java - Crashes
- [ ] MicRecorderAPI.java
- [ ] StorageGetAPI.java      
- [ ] TelephonyAPI.java
- [ ] DialogActivity.java    
- [ ] DownloadAPI.java

# Bugs/Issues:
~~Out of memory exception happens with dialogs, current work around is android:largeHeap=""true"" but this is obviosuly not a permanent fix.~~ fixed

# Usage Examples: 
This PR Requires the modified termux-api binary from here https://github.com/Epictek/termux-api-package/blob/master/termux-api.c PR incoming for that soon once I figure out how to handle rewriting all the scripts.
```
# Start the service (This will be implemented in to termux-api.c later)
am broadcast --user 0 -n com.termux.api/.TermuxApiReceiver
# Call logs
echo ""{'api_method':'CallLog'}"" | ./termux-api
# Date input
echo ""{'api_method':'Dialog','input_method':'date'}"" | ./termux-api
```"
termux/termux-api,open,Add support for modifying time settings,[],I would like to programmatically set the time on an android device via the termux command line.  Who ever does this might as well implement the rest of the public methods too.  The relevant docs are [here](https://developer.android.com/reference/com/google/android/things/device/TimeManager).
termux/termux-api,open,camera-video-start  and camera-video-stop,[],there is camera api for photos but no api for videos.
termux/termux-api,open,gpg-agent via OpenKeychain,[],"It will be cool to have gnupg agent that will use OpenKeychain.
(or ssh agent, but gnupg agent can emulate ssh agent so gnupg agent is better)

Like [termbot](https://github.com/open-keychain/termbot) does. "
termux/termux-api,open,termux-toast does not show,[],"All termux-api commands are working for me – but not `termux-toast`.
Executing `termux-toast ""some text""` runs and gives exit code 0, but **no toast message appears**.
```
$ termux-toast ""hello world!""`
$ echo $?
0
```

I modified source, so an error message is logged, when the toast panel should appear:

`# logcat -d > `[logcat_toast.log](https://github.com/termux/termux-api/files/2531083/logcat_toast.log) – watch for ""toast"" tag – nothing seems to relate to the toast… (besides the manualy added log of cource).

My device is a huawei honor 6x (BLN-L21) – android 7.0 nougat.
Same issue when I install termux and termux-api from play store or fdroid.
`termux-api` package is installed, all kinds of permissions granted…
"
termux/termux-api,open,`termux-dialog` not working on Android 9,[],"I'm facing this issue on my oneplus 6.

I've already checked all the Termux:API permissions and all other commands I've tested are pretty much working properly expect the `termux-dialog` where it only locks down.


```
$ termux-info
Updatable packages:
All packages up to date
System information:
Linux localhost 4.9.106-perf+ #1 SMP PREEMPT Sat Sep 15 01:11:54 CST 2018 aarch64 Android
Termux-packages arch:
aarch64
Android version:
9
Device manufacturer:
OnePlus
Device model:
ONEPLUS A6003
```
Battery status working:
```
$ termux-battery-status
{
  ""health"": ""GOOD"",
  ""percentage"": 89,
  ""plugged"": ""PLUGGED_USB"",
  ""status"": ""CHARGING"",
  ""temperature"": 29.200000762939453
}
```

```
$ termux-dialog
^C
```
Logcat output:
```
$ logcat -s termux:* termux-api:*
--------- beginning of crash
--------- beginning of main
```

I've tried to debug this with Android Studio but the issue I'm facing after compiling the Termux APK and Termux:API apk, is that my debugger doesn't know how to start the  Termux:API application as it is missing the main Activity.

Any help here would be appreciated in order to resolve it.
"
termux/termux-api,open,Termux-dialog stopped working after version 0.25,[],"Any termux-dialog invocation leads to ""unfortunately termux:api has stopped""

Downgrading to 0.25 fixes that. 

Android 5.1
"
termux/termux-api,open,Termux-location not working via bash,[],"Using termux-location at the command line (interactively) works fine. But when I put commands into a bash file, I get no output or null.

For example, bash code in a file like this -

x=$(termux-location -p network)
x=$(echo $x | jq .text)
echo $x

Works correctly interactively, but does not work when running in bash file with proper shebang. Any ideas?
"
