repository,state,title,label,body
termux/termux-widget,open,Update icon to match app icon,[],"On my phone (Pixel 3) the widget icon has a white border around it, while the icon in the app drawer doesn't have this. It would be nice if the widget icon is changed to match the app drawer icon.

Current widget icon:
![image](https://user-images.githubusercontent.com/601966/49258673-94672880-f436-11e8-8c5c-3a0ebc9d8886.png)

Current app drawer icon:
![image](https://user-images.githubusercontent.com/601966/49258679-9c26cd00-f436-11e8-846a-11a285c1cb5b.png)"
termux/termux-widget,open,Termux:Styling ,[],Termux:Styling doesn't apply on widget 
termux/termux-widget,open,Sort order of numbers,[],"The sort order of numbers in All Shortcuts is 1,10,2
Can you change that to 1,2,10?"
termux/termux-widget,open,[request] Show only scripts with specific string in widget,[],"Just a suggestion, I would like to know if it's possible to add a parameter when setting the widget to only shows scripts that have a specific string in the filename. This would make it possible to have multiple multi-scripts widgets, each one searching for a specific substring."
termux/termux-widget,closed,updated gradles and code,[],"updated gradles to 28, java 1.8 compatibility, etc"
termux/termux-widget,closed,script not executing external commands,[],"I've been facing a frustrating error when executing Nodejs/bash scripts in Termux-Widget app.

**Android**: 7.1.1
**Node**: 9.11.1
**NPM**: 6.1.0
**Termux**: 0.61
**Termux-Widget**: 0.8

I saved a Nodejs script in $HOME/.shortcuts as usual.

    #!/data/data/com.termux/files/usr/bin/env node

    const { exec } = require(""child_process"");
  
     exec(""npm -v"", (err, stdout) => {
       if(err) {
         console.log(err);
         return;
       }
       console.log(`stdout: ${stdout}`);
     });

When i execute this script in the shell with `node test.js`, I get the expected result, which is the current version of my installed npm. But when i execute it using the Termux-Widet, it outputs following error message:

    err: Error: Command failed: npm -v
    /data/data/com.termux/files/usr/bin/sh: 1: npm: not found

**Obs 1**: The same output was given when I tried `npm -v` using bash language.

**Obs 2**: It doesn't execute commands like **npm** and **ng generate...**, but do execute **ls** and **cd**

**Obs 3**: I already tried **termux-fix-shebang** and **termux-exec**.

**Obs 4**: In the same script, when i execute the following snippet, it lists NPM inside /bin directory.

    exec(""ls /data/data/com.termux/files/usr/bin"", (err, stdout) => {
      console.log(stdout);
    });

    ...
    node
    nohup
    npm
    nproc
    npx
    ...

If it's not related to the approach used, i guess there's a bug, or not notified feature, in the execution context of Termux-Widget, because inside the script, it lists NPM package, but doesn't execute it at all."
termux/termux-widget,open,[wishlist] Support .desktop files,[],"Current shortcuts are typically command-line programs that use stdin/out and have a delimited life time. With [git-annex](http://git-annex.branchable.com/devblog/day_497__rethinking_the_android_port/) [coming to termux](https://github.com/termux/termux-packages/issues/420), the possibility of other webapp-style local apps following, as well as envisioning the consequenes of an [SDL2 port to termux](https://github.com/termux/termux-packages/issues/51), those might be only a part of what we might want to launch from a desktop icon. Scripts that utilize `termux-toast` or `termux-dialog` likely would also prefer to indicate that they don't need the background terminal.

I suggest that [Linux desktop files](https://specifications.freedesktop.org/desktop-entry-spec/desktop-entry-spec-latest.html) be adopted for that purpose. termux-widget could not only look for executable files in `~/.shortcuts`, but also for .desktop files as `$XDG_DATA_DIRS/applications/**/*.desktop`. Those files could state a localized name of the launcher, an icon, carry custom metadata (like for #20 / #10) and indicate whether a terminal window should be shown at all by setting the `Terminal` key.

(Alternatives are assuming that everything is shell script and putting metadata in comment lines after the shebang (a practice that has some spread but which I deplore), or Windows 3.1 style [PIF files](https://en.wikipedia.org/wiki/Program_information_file)).

Games like `moria` already have appropriate .desktop files in their Debian packages, and could thus easily become launcher-enabled through termux-widget, complete with name and icon. (Or through a successor to termux-widget, if it turns out that .desktop files are the way to go but termux-widget should stay and there'd be another app that implements .desktop files)."
termux/termux-widget,open,Feature request: Make the widget's fg & bg colors user configurable,[],"The widget is a great addition to termux. Unfortunately, it doesn't look pretty.

I think the user experience could be greatly improved by making the title/list background/foreground colors user configurable somehow.

Regards"
termux/termux-widget,open,Termux widget shows non-executable files,[],"### Current behavior
Widget shows non-executable files.

### Expected behavior
Only executable files should appear in the widget.
"
termux/termux-widget,open,Termux-widget not starting termux ,[],"If i press on any shortcut on the widget, it does not open termux (cold start).
But if i open termux, and leave it and then click on any shortcut, it opens up and runs fine.

Let me know how can i help debug it more for you!

Thanks for termux!"
