repository,state,title,label,body
lordi/tickmate,closed,Update screenshot,[],"to show trend indicator in right hand side

Needed to answer issue #118."
lordi/tickmate,open,Notifications don't work,[],"Hi,

Just wanted to point out that the notification function ""tickmate reminder"" never worked on my phone.

Am I the only one ?"
lordi/tickmate,open,Add an automatic group for ungrouped habits,[],"Hi,

I find the current way of managing activities imperfect and would like to suggest this : there needs to be a dynamic group of all the activities that have not been manually added to groups. Currently, appart from cycling through all the activities in the settings you can't be sure of you have checked all of them for the day as it gets hard to keep track of more than 10 habits.

Thanks a lot 😊"
lordi/tickmate,open,Change date format ,[],"Hi,

I think  it would be great to allow for changing the date format that is displayed on the left of the main page. Especially to add ""dd/mm/yy""  and ""dd/mm""

Great app :D"
lordi/tickmate,closed, PL translation for 1.4.6 and missing part for 1.4.4 ,[],
lordi/tickmate,closed,Add Ethereum (and other cryptocurrency) donation option(s),[],Thanks for making Tickmate! It's an awesome app and I would like to donate to support its development. But I don't like BitCoin these days due to serious unresolved scalability issues leading to unpredictable and sometimes extremely high transaction fees. Please add addresses to donate via other cryptocurrencies like Ethereum. :-)
lordi/tickmate,open,Connect to translation service,[],Please connect to a translation service such as Transifex or Weblate (free for FOSS projects) to facilitate easy translation.
lordi/tickmate,open,Cannot import backup database,[],"Hello,
Thanks for creating this app. I'm trying to move tickmate data from a old phone to new one but I encountered following error:

`java.io:FineNotFoundException: /storage/emulated/0/Android/data/de.smasi.tickmate/<some_path> open failed: EACESS (Permission Denied)`"
lordi/tickmate,open,More multiple ticks!,[],"Hello! How about 999 ticks at max instead of 99 per day? Because in some situations 99 not enough... 
I'm using TickMate not only for a true habits, but as a frag counter in fps games too (because it's one of my habits)!
For now I do a routine work for single ticks my score after 99, if I have more than 99 in a single day...
Thanks for useful app!"
lordi/tickmate,open,"Missing ""Days since last""",[],"Hey guys!

I really loved the analysis per track that showed me the days since I last had this event! I think this is the field which was replaced by the 14 days trend analysis. Is it possible to bring my beloved field back or at least to provide an option to switch it on?

Thanx very much!
I love TickMate :)"
lordi/tickmate,open,Slide track details/graphs,"[Label(name=""feature"")]","Hi, I really love tickmate but I always wish that it would be possible to slide the statistics/track details (month, quarters etc.) further back into the past. I know that it's possible to see a tiny bit more of them in landscape mode but I think it would be really cool if you could just slide back as far as you want (just like you can slide the normal Tickmate overview up and down to go through time).

Not sure if that's understandable, so I made a thing: 

![screenshot_20171103-112002-01](https://user-images.githubusercontent.com/4312909/32369698-7114fbc2-c08a-11e7-8dfe-2b597dd69a46.png)

Anyway, thanks again for this amazing app!"
lordi/tickmate,open,Export to CSV,[],It would be a nice feature to export the DB or entries to a CSV so data could be looked at in additional charts within a spreadsheet.
lordi/tickmate,closed,Bad Typo,[],"""Abgehackt"" actually means ""cut something off"" while ""abgehakt"" (note the missing c) means ""check off"". ""Abhaken"" refers to ""Haken"" which means ""check mark"" (in this context). It is a common issue in Germany that people get this wrong in their orthography."
lordi/tickmate,open,Switching from Single tick -> Multiple ticks erases history,"[Label(name=""bug"")]","I'm sure that it's because the var type is changing... but is it possible when switching from Single-tick to multiple all formerly ticked enties are converted to 1? Otherwise you lose the history.

Likewise, going from multiple -> binary should assign 0-> F and 1+ to T"
lordi/tickmate,closed,Bugfix break / streak calculation around DST change dates,[],"Due to daylight saving time (DST), there is one day with 23 hours and one with 25 hours once a year.
This leads to incorrect results when calculation the number of days by just dividing the millis difference
by 24 hours. Example (German time zone): one tick on 24 Mar 17 and one on 27 Mar 17 gave a break of
1 day instead of 2; one tick on 26 Mar 17 and one on 27 Mar 17 gave a streak of 1 instead of 2. This
bugfix corrects the breaks / streaks calculation for time spans including the DST change moment."
lordi/tickmate,closed,Time info code cleanup,[],"Time info is saved to the database for ticks on the current day but not used in the program
anywhere. On the contrary, all calendar operations rely on the fact that the time info is
cleared. This can be simplified by not loading the time info from the database in the first place.
This allows to remove the instructions clearing the hour, minutes, seconds, and milliseconds
scattered all over the code.
The change in ButtonHelpers.java addressed issue #111."
lordi/tickmate,closed,Setting for which days are allowed to be changed does not work properly.,[],"When I have selected ""active day and day before"" I can edit only current day.
When I have selected ""active day only"" I couldn't edit anything. 31.05.2017, Wednesday, if that matters."
lordi/tickmate,closed,Fix year for weeks at turn of the year,[],"The year number for weeks at the turn of the year changes within the week,
which lead to incorrect binning of the year-week-combination when calculating
the weekly distribution. This is corrected by this bug fix.
It fixes issue #61."
lordi/tickmate,open,"Swap rows and columns in journal, show track name","[Label(name=""feature"")]","Thank your for this most useful app!

Unfortunately, it is so useful, that I already hit the wall with it: I
have a lot of aspects of my life I would like to quantify, currently
15, with desire for more. This leads to two problems:

- The individual columns become extremely narrow, partly
  overlapping/cutting off each other, especially in portrait mode,
  which I very much prefer.

- Identifying the tracks by an icon is already difficult for some
  people (personally, I find it cumbersome, my brain's text matching
  engine seems to work a lot better), but with much more than 10
  items, it gets cumbersome for most people, I guess.

Therefore, I would love to see the following options implemented:

- An option ""Swap rows and columns"" (or similar), where
  each row shows one track, and each column shows a day.

- Especially for the row/column-swap-mode, but maybe also
  available in normal mode:
  Three options (only one can be selected at a time):

  ""Show track as ...""

  - ""icon""

  - ""text""

  - ""text + icon"" (intuitively, I think this order might suit most,
    but otherwise, add a fourth option ""icon + text"" :-}

  As opposed to the icons, track names can have varying lengths, so
  there should be a possibility to adjust the width of the track name
  display, either graphically or simply by some configurable value (in
  font points, pixels, mm, or whatever).
  
I know I'm asking quite a bit, but just imagine it was a long, dark
winter evening, and you were bored to death ... :-}
"
lordi/tickmate,closed,Trend indicator,[],"Implements #98.
Replace the now redundant ""Days since last"" summary number (days since last can
now be read off the new streaks/breaks chart) by a trend indicator. The trend
is computed as the slope of a linear least square fit calculated over the ticks
of the track within the specified trend range. The trend range can be selected
in the settings (default 2 weeks). No trend indicator will be available if the
trend range reaches back further than the first tick was recorded for that track.
In this case, a '?' will be displayed. Otherwise a tilted arrow shows the trend,
wheras a 45° maximum increasing/decreasing trend will be displayed as a vertical
arrow pointing straight upwards/downwards. Larger trend values are symbolized by
a dashed upwards/downwards arrow to visualized the capping at 45°.
The current day is included in the trend calculation, no matter if it's early or
late on this day.

Refactoring of SummaryNumber to replace hard-coded distances by generic ones
based on font properties. Adjust 'show track' layout to make all summary number
widgets exactly the same size."
