repository,state,title,label,body
Vilbrekin/tinc_gui,open,Android tinc wrong host-up,[],"```cmd
#!/system/bin/sh 
echo $REMOTEADDRESS
echo $INTERFACE 
VPN_GATEWAY=10.0.0.254
# Fetch the first default gateway from the current routing tables
ORIGINAL_GATEWAY=$(for a in $(ip rule show | grep lookup | sed -r 's/.* lookup ([^ ]+).*/\1/'); do ip route show table $a | grep ^default | cut -d ' ' -f 2-5; done | head -1)
echo $ORIGINAL_GATEWAY

# Use new routing table 100, to have higher priority than lollipop's ones
ip rule add prio 100 from all lookup 100
ip route add table 100 $REMOTEADDRESS $ORIGINAL_GATEWAY 
ip route add table 100 $VPN_GATEWAY dev $INTERFACE 
ip route add table 100 0.0.0.0/1 via $VPN_GATEWAY dev $INTERFACE 
ip route add table 100 128.0.0.0/1 via $VPN_GATEWAY dev $INTERFACE
```
cmd not complete ,should be replaced with

```cmd
#!/system/bin/sh 
echo $REMOTEADDRESS
echo $INTERFACE 
VPN_GATEWAY=10.0.0.254
# Fetch the first default gateway from the current routing tables
ORIGINAL_GATEWAY=$(for TABLE in $(ip rule show | grep lookup | sed -r 's/.* lookup ([^ ]+).*/\1/') ; do ip route show table $TABLE | grep ^default | cut -d ' ' -f 2-5 ; done | grep -v dummy | head -1)
echo $ORIGINAL_GATEWAY

# Use new routing table 100, to have higher priority than lollipop's ones
ip rule add prio 100 from all lookup 100
ip route add table 100 $REMOTEADDRESS $ORIGINAL_GATEWAY 
ip route add table 100 $VPN_GATEWAY dev $INTERFACE 
ip route add table 100 0.0.0.0/1 via $VPN_GATEWAY dev $INTERFACE 
ip route add table 100 128.0.0.0/1 via $VPN_GATEWAY dev $INTERFACE
```"
Vilbrekin/tinc_gui,open,Can not import configuration file and folder on Android 8.0,[],"On Android 8, It can not import configuration. 
Storage permission enabled.
Thanks for your wonderfull work!"
Vilbrekin/tinc_gui,open,Android 7 ,[],"Configuration path do not work 
"
Vilbrekin/tinc_gui,closed,Client on Andorid 6.x  is unable to reach other peers but can reach gw.,[],"Ok this is bugging me because for the life of me I cannot see what it going wrong.

Following [This](http://tinc_gui.poirsouille.org/) guide I set up the routes as they are on my laptop.

> ip route show
> 
> default via 192.168.0.101 dev wlan0  metric 314 
> 10.4.0.0/24 dev tun0  proto kernel  scope link  src 10.4.0.99 
> 192.168.0.0/24 dev wlan0  proto kernel  scope link  src 192.168.0.150  metric 314 

and

> route -n
> 
> Kernel IP routing table
> Destination     Gateway         Genmask         Flags Metric Ref    Use Iface
> 0.0.0.0         192.168.0.101   0.0.0.0         UG    314    0        0 wlan0
> 10.4.0.0        0.0.0.0         255.255.255.0   U     0      0        0 tun0
> 192.168.0.0     0.0.0.0         255.255.255.0   U     314    0        0 wlan0

This matches my laptops routing table 

> ip route show
> 
> default via 192.168.0.100 dev wlan0  proto static  metric 600 
> 10.4.0.0/24 dev tun4  proto kernel  scope link  src 10.4.0.2 
> 192.168.0.0/24 dev wlan0  proto kernel  scope link  src 192.168.0.129  metric 600 `
> 
> route -n
> 
> Kernel IP routing table
> Destination     Gateway         Genmask         Flags Metric Ref    Use Iface
> 0.0.0.0         192.168.0.100   0.0.0.0         UG    600    0        0 wlan0
> 10.4.0.0        0.0.0.0         255.255.255.0   U     0      0        0 tun4
> 192.168.0.0     0.0.0.0         255.255.255.0   U     600    0        0 wlan0

I am able to ping the VPN gw at 10.4.0.1 but unable to ping any other peers on the vpn. Is there something else on Android 6.x I need to be aware of to be able to ping peers? 

Any help is appreciated. I know Tinc worked fine on Android 4.3 so I suspect there is something different about 6.x 

Thanks. 
"
Vilbrekin/tinc_gui,open,DNS and default gateway,[],"I use CM-13.0 and Tinc_gui 0.9.14.

Then I connect through LTE to peer which I want use as a default gateway, DNS stopped to work.
Seems like problem in providers DNS, which stands not in my LAN. Because if I connect through Wi-Fi with DNS in my phone network, all works fine.

For example, through LTE my phone IP can be like 10.99.143.25/30, 10.112.2.159/26 and so on. And DNS is 10.220.4.9, 10.221.4.9. So to ask DNS about name resolution, phone should hops several routers.

I tried 

```
setprop net.dns1 8.8.8.8
setprop net.dns2 8.8.4.4
```

in `default-gateway-up`, but without success. As a workaround, I set routes to providers DNS through `ORIGINAL_GATEWAY`, but I don't like this idea.

My tinc.conf:

```
Name = phone
ConnectTo = default-gateway
ConnectTo = another-host
Device = /dev/tun
DeviceType = tap
ScriptsInterpreter = /system/bin/sh
```

tinc-up:

```
#!/system/bin/sh
ifconfig $INTERFACE 192.168.247.28 netmask 255.255.255.255
#echo 1 > /proc/sys/net/ipv4/conf/$INTERFACE/rp_filter

# Use new routing table 100, to have higher priority than android's ones
ip rule add prio 100 from all lookup 100
ip route add table 100 192.168.247.0/24 dev $INTERFACE
```

tinc-down:

```
#!/system/bin/sh -x
ip rule del from all lookup 100
ip route del table 100 192.168.247.0/24 dev $INTERFACE
```

another-host-up:

```
#!/system/bin/sh -x
VPN_GATEWAY=192.168.247.25

# Use new routing table 100, to have higher priority than android's ones
ip route add table 100 172.16.0.0/12 via $VPN_GATEWAY dev $INTERFACE
```

another-host-down:

```
#!/system/bin/sh -x
VPN_GATEWAY=192.168.247.25

ip route del table 100 172.16.0.0/12 via $VPN_GATEWAY dev $INTERFACE
```

default-gateway-up:

```
#!/system/bin/sh -x
VPN_GATEWAY=192.168.247.21
ORIGINAL_GATEWAY=$(for TABLE in $(ip rule show | grep lookup | sed -r 's/.* lookup ([^ ]+).*/\1/') ; do ip route show table $TABLE | grep ^default | cut -d ' ' -f 2-5 ; done | grep -v dummy | head -1)
ORIGINAL_DNS1=$(getprop net.dns1)
ORIGINAL_DNS2=$(getprop net.dns2)

# Use new routing table 100, to have higher priority than android's ones
ip route add table 100 $REMOTEADDRESS $ORIGINAL_GATEWAY
ip route add table 100 $ORIGINAL_DNS1 $ORIGINAL_GATEWAY
ip route add table 100 $ORIGINAL_DNS2 $ORIGINAL_GATEWAY
ip route add table 100 $VPN_GATEWAY dev $INTERFACE
ip route add table 100 0.0.0.0/1 via $VPN_GATEWAY dev $INTERFACE
ip route add table 100 128.0.0.0/1 via $VPN_GATEWAY dev $INTERFACE
```

default-gateway-down:

```
#!/system/bin/sh -x
VPN_GATEWAY=192.168.247.21
ORIGINAL_DNS1=$(getprop net.dns1)
ORIGINAL_DNS2=$(getprop net.dns2)

ip route del table 100 $REMOTEADDRESS
ip route del table 100 $ORIGINAL_DNS1
ip route del table 100 $ORIGINAL_DNS2
ip route del table 100 $VPN_GATEWAY dev $INTERFACE
ip route del table 100 0.0.0.0/1 via $VPN_GATEWAY dev $INTERFACE
ip route del table 100 128.0.0.0/1 via $VPN_GATEWAY dev $INTERFACE
```

I can't understand, is problem in tinc_gui or in my phone.
Can you help to determinate the root of issue or suggest another workaround?
"
Vilbrekin/tinc_gui,closed,Travis,[],
Vilbrekin/tinc_gui,closed,tinc 1.0.25 doesn't stop on  Android 6.0.1,[],"Tinc 1.0.25 doesn't stop on  Android 6.0.1 (Nexus 5, build MMB29Q). Log writes tincd terminated, but tinc continues, STOP button doesn't change, DEBUG button seems not working.
Tinc GUI can be forced to stop, but tincd is still running. 
Tinc config is identical with previous Lollipop. 
Let me know if any additional info needed
"
Vilbrekin/tinc_gui,open,Support for MIUI Security,[],"Then I'm trying to Start service with ""Execute as Super User"" set, it says ""Your terminal is not rooted properly. Please correct this or try disabling su usage from preferences."". But this check in [checkRoot()](https://github.com/Vilbrekin/tinc_gui/blob/RELEASE_0.9.13/app/src/main/java/org/poirsouille/tinc_gui/TincActivity.java#L191-L200) is just check. Is it possible to look if application is running under MIUI and if it is then replace this simple check by syscall which asking root access wrapping it in try/catch block. I've never developed for Android or Java, I'm PHP developer, but maybe this can accomplish task:

```
String version = System.getProperty(""os.version"");
if (version.contains(""MIUI""))
{
    try
    {
         Process root = Runtime.getRuntime().exec(""su"");
         return true;
    }
    catch(Exception e)
    {
         return false;
    }
}
else
{
    if (_service != null && _service._useSU)
    {
        // Ensure su is working correctly, as some implementations do simply nothing, without error...
        String aOut = Tools.ToString(Tools.Run(""su"", ""id""));
        return (aOut.length() >= 5 && aOut.substring(0, 5).equals(""uid=0""));
    }
    return true;
}
```

This is required for MIUI su application called ""Security"". This application detects such calls and later allows a user to give such applications root rights. Tinc GUI doesn't appearing there.
"
Vilbrekin/tinc_gui,open,resolving hostnames to IP addresses,[],"When using an IP address ""#.#.#.#"" it connects fine
When using a ""some.ddns.net"" address gives a
Error looking up ""some.ddns.net"" no address associated with hostname.
any ideas as to why
Force to write IP address each time host changes (dynamic)
From Xperia E2105 rooted (kingroot) stock rom
"
Vilbrekin/tinc_gui,closed,gateway script,[],"I use your Script on my Samsung galaxy S2 with CM5.

> ORIGINAL_GATEWAY=$(for a in $(ip rule show | grep lookup | sed -r 's/.\* lookup ([^ ]+).*/\1/'); do ip route show table $a | grep ^default | cut -d ' ' -f 2-5; done | head -1)

I got some Errors

(for a in $(ip rule show | grep lookup | sed -r 's/.\* lookup ([^ ]+).*/\1/'); do ip route show table $a | grep ^default | cut -d ' ' -f 2-5; done | head -1)

> cut: standard output: Broken pipe
> cut: standard output: Broken pipe
> cut: standard output: Broken pipe

so I split the commands and got these.
(ip rule show | grep lookup | sed -r s/.\* lookup [^ ]+.*/1/)

> _

(ip route show table $a | grep ^default | cut -d   -f 2-5)

> Command line is not complete. Try option ""help""

(ip route show | grep ^default | cut -d   -f 2-5)

> _

Have you an Idea what i could do to get Tinc run?
"
