repository,state,title,label,body
tananaev/traccar-client-android,closed,Added features that,[],"- Added HTTP Basic Authorization feature.
- Changed Update interval condition for callback.
- Added/changed minor improved and commented codes."
tananaev/traccar-client-android,open,Implement functionality to capture a config-link and react on it,[],"It has been requested that an Android Traccar-client can be configured remotely, see #355.

@stefanb has had the idea of an Android App Link which carries config-data and opens the Traccar-client directly and shows/requests a new configuration, in order to free the user of bothering about settings.

My solution doesn't use an App Link, but it reacts on a deep link like ""https://www.example.org/config/?url=https://receiving.server.com/receive.php&id=12345&interval=120&accuracy=high"" if Traccar is installed (and not running). Otherwise the device opens the link in a browser and shows install directions.

Every distributing developer has to customize the intent-filter in AndroidManifest.xml to get a match for their config-link, or if not: no harm is done, the remote-configuring is never triggered.

Request for comments / corrections."
tananaev/traccar-client-android,open,"""High"" accuracy drains battery and never reports, ""medium"" accuracy too inaccurate",[],"For users of the Android client who are using it to track people with phones, obviously those phones spend a lot of time indoors. When indoors on high accuracy, Traccar's behavior seems to be to _only_ use GPS. It will keep GPS on seemingly the entire time it is indoors, never getting a fix. This will drain the battery very quickly as well as not provide useful location data. Medium accuracy is only really useful in populated areas where there is sufficient wifi coverage to give semi-accurate location. And even in heavily populated areas it is sometimes unreliable.

I see two possible fixes for this:
A. Have a timeout for a GPS fix. If it doesn't work, fall back to a ""medium"" fix until the next location update interval.
B: Rather than high/medium/low implying a type of fix... provide a desired accuracy. If I can get a 100 meter or better fix with wifi, no need to try with GPS. Wifi fixes consume less battery and it's probably worth trying them in most cases, falling back to GPS if you end up with a ""1.4 km"" radius.

I think it is undesired behavior to have to choose high (which will drain batteries indoors very quickly, won't provide any location info indoors) and medium (which will work pretty well indoors, but often knowingly provide 1 mile or more of inaccuracy).

I understand Traccar is leveraging another library for location data, but that that library is poorly maintained."
tananaev/traccar-client-android,open,android.os.DeadObjectException android.os.BinderProxy.transactNative,[],"The service stops after some active hours, this happens in
Samsung Galaxy J4 (j4lte), Android 8.0, because they do not handle the service with jobintentservice?
"
tananaev/traccar-client-android,open,Change order in which position are sent,[],for issue #382
tananaev/traccar-client-android,closed,Send most recent position first,[],"Hi,

If this not an issue on traccar server side, don't you think that in case there is multiple positions waiting in the buffer to be sent, the last know position should be sent first ?
In DatabaseHelper.java add DESC to the line 127.
```sql
SELECT * FROM position ORDER BY id LIMIT 1 DESC
```
(order is only significant if data connection is bad and there is a lot of buffered position but still...)
"
tananaev/traccar-client-android,open,Explain within client what each accuracy level means,[],"Currently users cannot know what it means and it seems that changing accuracy to High solves significant portion of support requests.

My first interpretation of the ""Location accuracy"" setting was how many decimals should be included in the sent coordinates ;-) but in fact it affects also other reporting parameters (speed, direction...)"
tananaev/traccar-client-android,open,send last known location if lost fix,[],"<!--

Do you want to ask a question? Traccar official forum is the best place for getting support:

https://www.traccar.org/forums/

-->
isit possible to send the last known location if fix has been lost? therefore at every frequency we are able to get a location update"
tananaev/traccar-client-android,closed,Notification to show that service is running can not be seen,[],"<!--

Do you want to ask a question? Traccar official forum is the best place for getting support:

https://www.traccar.org/forums/

-->

Using a galaxy tab s2 with android version 7.0.0, i am unable to see the notification on the notification bar, why is this so?
![screenshot_20181023-152711](https://user-images.githubusercontent.com/43231504/47343277-57da3b80-d6d8-11e8-85b0-e1ef5452fc25.png)


"
tananaev/traccar-client-android,closed,is there a log file after installing the app?,[],"<!--

Do you want to ask a question? Traccar official forum is the best place for getting support:

https://www.traccar.org/forums/

-->
is there any other way i can check the logs other than using the logcat in android studio's ide?"
tananaev/traccar-client-android,closed,Fix battery level reporting,[],Client sends battery _level_.
tananaev/traccar-client-android,closed,Correct location updates frequency (#375),[],
tananaev/traccar-client-android,closed,Location update delay,[],"<!--

Do you want to ask a question? Traccar official forum is the best place for getting support:

https://www.traccar.org/forums/

-->
![screenshot_20181005-153501 1](https://user-images.githubusercontent.com/43231504/46522167-9ee0c800-c8b4-11e8-87be-1dd73ce6710d.png)

i am using version 5.13 for android, frequency 30 distance 0 angle 0, for the first location update to the second location update, it updates later then 30s but for subsequent updates it maintains at 30s at every interval? i cant seem to understand why, isit the device issue or some software issue"
tananaev/traccar-client-android,closed,Error server,[],"
I have this error ""error: an existing connection was forcibly closed by the remote host - IOException (...)"",
what is a reason
Thanks"
tananaev/traccar-client-android,closed,Not Background,[],"


Good morning compile the application and I have installed it in different cell phones the problem I have is that in some it does not activate in the background ... Thanks


"
tananaev/traccar-client-android,open,Display pending updates in the status messages,[], #371
tananaev/traccar-client-android,open,Display pending updates in the status messages,[],"This adds another functional test that is to display the number of pending updates.

![screenshot_20181003-144538](https://user-images.githubusercontent.com/84910/46412363-a53d3b80-c71e-11e8-91b5-7a4c57155ab1.png)
Unsent positions count will appear in parenthesises.
Another way for the user to check for e.g. network issue."
tananaev/traccar-client-android,closed,"when status turned on, two location update is sent instead of one",[],"<!--

Do you want to ask a question? Traccar official forum is the best place for getting support:

https://www.traccar.org/forums/

-->

When i first turn on the status, i will see two location updates instead of one, why is this so or how do i solve it? Is the first location update a buffer or a previous saved location

"
