repository,state,title,label,body
y20k/trackbook,closed,Typo,[],
y20k/trackbook,closed,Wrong distance,[],"Showing wrong distance. Trackbook is showing wrong distance. A record is showing a distance of 188 km. Maybe the real distance was 1,8 km.
I'm using the German version. Maybe the error is because in Europe the decimal sign is a comma and in the US is a dot. "
y20k/trackbook,closed,App is crashing,[],"App crashes.
Android 9, Sony xz2"
y20k/trackbook,closed,Corrupt track files,"[Label(name=""bug"")]","V 1.1.11 is writing corrupt track files. Tracking works fine. When a track is saved then opened in ""Last Tracks"" the default map of Heidelberg is shown. Attempts to show statistics, share or export the track all cause Trackbook to stop.

V 1.1.10 also stops when performing operations on tracks written by v 1.1.11

V 1.1.11 reads tracks produced by previous versions of Trackbook without any problems.

I've tested this on two phones, Android 6 and Android 8.

I ran the beta, v 1.1.11-07 for several weeks without a problem. This release must differ in some way from that. :pensive:





"
y20k/trackbook,closed,Recording start/stop button: dot icon is missing,"[Label(name=""bug"")]","The dot icon on the recording start/stop button is missing under certain circumstances

@Hob111 found in #21 a way to reproduce it

> Run Trackbook, start, stop and clear a track (no need to wait for it to record any track points) then go to ""Last Tracks"" back to ""Map"" and start another track.

I did some research: This seems to be a bug in support library. I think, I will wait until it gets fixed.

see: [BUG: FloatingActionButton icon disappears after visibility change](https://issuetracker.google.com/issues/111316656)"
y20k/trackbook,open,Lines instead of dots,[],"It would be nice to have a path drown instead of just dots.

What do you think?"
y20k/trackbook,closed,how to replace line instead circle point?,[],"
![download 1](https://user-images.githubusercontent.com/9013165/44297933-06d05480-a2ef-11e8-98be-d4a75d35e59e.jpg)
I want that addline between points and connect points with line 
help me 
"
y20k/trackbook,closed,Doesn't work in background ,[],"Huawei p10 mate pro
Android 8.0

If I turn off the Display, the tracking stops.

Do I need to change some settings? 

BR "
y20k/trackbook,closed,Update WayPoint.java,[],Minor typo correction.
y20k/trackbook,closed,Implement a share sheet,"[Label(name=""enhancement"")]","As mentioned in #36 ... Trackbook should offer to send tracks as GPX via a share sheer.

Still to decide

- Should we keep the existing download button?"
y20k/trackbook,closed,Import GPX Tracks,"[Label(name=""enhancement"")]","First want to thank you for the great app.

Would it be possible to import gpx data frim other apps? For example from the share menu.
"
y20k/trackbook,closed,App crashes on clicking Resume and Clear options simultaneously,"[Label(name=""bug"")]","#### Expected behavior<br>
The app must be stable and should resume the paused recording and clear the record on clicking the Resume and Clear options.<br>
#### Actual behavior<br>
But the app crashes on clicking Resume and clear option simultaneously and immediately.<br>
#### How to reproduce<br>
1. Install the app from fdroid.<br>
2. Launch the app. Turn on the location services of your device.<br>
3. Clicking on blue button to start tracking. Click on it again and it will pause the tracking. On clicling on it again will shoe you three options (Resume, Clear and Save) Click on Resume option.<br>![](https://s19.postimg.cc/dwy6u5xwz/20180519_235252.png)
4. Click on the blue button again and click on Clear option.<br>
5. Click on the blue button again. The app crashes.<br>
* App Version: 1.1.8<br>
* Device: Samsung Galaxy J5<br>
* Operating System: Android 6.0.1<br>
#### Recording Of The Bug<br>
https://youtu.be/H-gvLX5ssQA"
y20k/trackbook,closed,Version 1.1.5 does not start at all on Huawei P8 lite,[],"Hi there,

I am a user of the app for a while and I am absolutely thrilled about it, because it is exactly the app I was looking for (for ages) ;-)

Since the update to 1.1.5 it does not work for me anymore. After going back to 1.0.8 it works again, so I guess there is a problem form me with the new 1.1.x stream of the app.

My Environment: 
* Huawei P8 lite (ALE-L21) with Android 6.0, EMUI 4.03

Probem Description:
* Starting the app makes the screen flickr for the fraction of a second, and then I am back to the launcher again
* This can be repeated (probably) indefinitely

There is no error message or any other means to get more information on this bug, I am sorry :(

Does anybody else have such a problem with the recent version?

Cheers

LZ"
y20k/trackbook,closed,"Save, clear AND RESUME","[Label(name=""enhancement"")]","This one came in via email: Trackbook could need an option to resume a recording. The easiest way to implement would be to offer an option to RESUME alongside the existing options ""clear"" and ""save""."
y20k/trackbook,closed,The Trackbook Bug,"[Label(name=""bug"")]","***Expected Behavior***

It should take me to my current/initial location 

***Actual Behavior***

Each time the button is touched, the app crashes 

***Test Tools**
* Operating system : Android 6.0
* Phone : Infinix hot s
* App version 1.1.4

***How to produce the bug***

Open the app, click on the blue button with a white dot in it. It would crash 

*Recording of the bug is shown below......*

https://youtu.be/pWWj8fcvwiU

<br /><hr/><em>Posted on <a href=""https://utopian.io/utopian-io/@beckysophie/the-trackbook-bug"">Utopian.io -  Rewarding Open Source Contributors</a></em><hr/>"
y20k/trackbook,closed,GPX Requires UTC for datetimes,"[Label(name=""bug"")]","See: https://en.wikipedia.org/wiki/GPS_Exchange_Format#Units

Currently GPX files are exported in the timezone of the phone."
y20k/trackbook,closed,Add google() repo to buildscript,[],"this is required to find the com.android.tools.build:gradle:3.0.1
plugin.

Fixes:
   > Could not find com.android.tools.build:gradle:3.0.1.
     Searched in the following locations:
         https://jcenter.bintray.com/com/android/tools/build/gradle/3.0.1/gradle-3.0.1.pom
         https://jcenter.bintray.com/com/android/tools/build/gradle/3.0.1/gradle-3.0.1.jar
     Required by:
         project :"
y20k/trackbook,closed,App gets killed by system while recording (only on Oreo),"[Label(name=""bug"")]",Trackbook gets killed by system while recording for a while. 👎 This probably happens only on devices running Android 8 and above. Probably caused by new background restrictions introduced in Oreo. See: [Background Execution Limits](https://developer.android.com/about/versions/oreo/background.html)
y20k/trackbook,closed,Höhenmeter,[],"Hallo,

wäre es möglich bei den Statistiken noch Höhenmeter mit aufzunehmen?

Danke"
y20k/trackbook,closed,New Screen Layout,"[Label(name=""enhancement"")]","The next version of Trackbook will come with an updated UI.

![2017-11-29 15 18 41](https://user-images.githubusercontent.com/9103935/33379772-45e54094-d519-11e7-9913-a45e3d3c76e6.jpg) ![2017-11-29 15 19 22](https://user-images.githubusercontent.com/9103935/33379774-47ca98fa-d519-11e7-8f72-1841bf314564.jpg)

"
y20k/trackbook,closed,Great App!,"[Label(name=""enhancement"")]",Love this app and functions very well. Thanks for a great app.  I did notice that the header part with the menu icons hogs most of the screen in landscape along with the footer area. Leaves only a small slice of the screen for the track itself.  Looks like you designed it for portrait. Not a big issue since panning works very well. Thanks again.
y20k/trackbook,open,Offline Maps,[],"Hello,

It would be really nice, when this app could use offline maps, like c:geo or Osmand.
Thanks

Malte"
y20k/trackbook,closed,Fixed some mistake in the Italian translation,[],
y20k/trackbook,closed,The Italian translation does not work,[],The Italian translation is not loading even if the device is configured for the Italian market. Do you have an idea for fix this problem?
y20k/trackbook,closed,"Why ""Step Taken"" is -1?",[],"Hi! Why is it fixed at -1? I have tryied to change the parcel.writeFloat(mStepTaken); in parcel.writeFloat((float)(mTrackLength * 1.428)); (to have some step count but i know this is inaccurate).
But the situation is the same (can i have changed the wrong code? I'm still understanding the trackbook code, did i a mistake?)"
y20k/trackbook,closed,Odd distance,"[Label(name=""bug""), Label(name=""help wanted"")]","Despite I am German, I try in English, so everybody can read:
Sometimes (maybe 1 out of 5) records display a distance, that cannot be true (s.attached screenshot). So far, I thought, maybe decimal point is just missing (so having 250000 meters instead of 2500,00). But today I donot think, distance is right at all (but maybe I am wrong).
Anyway .... attachement shows wrong result. All the other numbers on that screenshot should be correct. All the others .... but ""Schrittzähler"" (how could I have this correct too).
Most times (4 out of 5, or so)distance is correct.
Thanks.
![screenshot_20170701-120407](https://user-images.githubusercontent.com/22373747/27761194-a15174fe-5e57-11e7-9564-70434cbedee8.png)
"
y20k/trackbook,closed,New Italian resource,[],"Hi trackbook teams,
I added the new italian resource for this great app! I hope it's useful.

Thanks and best regards
Marco"
y20k/trackbook,open,Android Wear Support,"[Label(name=""enhancement""), Label(name=""help wanted"")]","This one came in via email. Trackbook could be extended to work on **Android Wear**. Android Wear Support could come in two steps.

1. **Control Trackbook via watch**
There at least three options should be accessible via Wear. ""Start Recording"", ""Stop and Save"", (just) ""Stop"".

2. **Make Trackbook run standalone on GPS watches**
The TrackerService and LocationHelper must be ported to Wear.

Anyway. At the moment I do not have the time (and the hardware) for it. But I think it would be a nice addition to Trackbook. Maybe a project for an **external contributor(*)** or a project for me, as soon as I have worked out the rough edges on the main app.

(*) please discuss ideas for Wear functionality here first before implementing them."
y20k/trackbook,closed,More intutive access to statistics,"[Label(name=""enhancement"")]",I found it a bit hard and counter-intuitive to access the statistics of a recorded track. One has to pull-up the bar at the bottom. To make it more intuitive I would suggest to either (or both): a) to auto-pull up the statistics with a press on the statistics-icon and/or b) to place an up-arrow beside the statistics icon to indicate that one should pull it up.
