repository,state,title,label,body
erickok/transdroid,open,[Feature Request] autodl management,[],"Hi erickok,

thank you for the nice app - great for everyday download management. 

A great feature would be the possibility to manage autodl filters in ruTorrent remotely. 

Thank you for the app :)"
erickok/transdroid,open,Don't save password,[],"Would be nice to be able to ask password when connecting and not saving it locally. (Losing notifications is not a problem for this)

Same for second factor identification."
erickok/transdroid,open,Fix AndFTP files download,[],"AndFTP does not seem to follow the (S)FTP directory path if written at the end of ftp(s):// or sftp:// links.
That's why I made this PR to add (S)FTP directory path to ""remote_file"" automatically."
erickok/transdroid,closed,Fix commit 22adee5,[],
erickok/transdroid,open,Crashing constantly,"[Label(name=""needsinfo"")]","As stated in the title, this application is crashing when I do almost anything- I can't click on a torrent, click on the RSS Feeds button, or switch to another application without Transdroid crashing.  It will sometimes crash after connecting to the server if I do nothing else at all, and often I will get a system message stating that Transdroid has crashed when I'm not even using it and it isn't running in the background.  I am using a Galaxy S8+ that has not been modified in any way.  Do you have any idea what is causing this?  It's really not usable in its current state.

Edit:  Using v2.5.13.  I have tried disabling the features that use the Background Service, but this hasn't made any difference."
erickok/transdroid,closed,Fix typo,[],"Change ""pref_ftpurl_in**t**o"" to ""pref_ftpurl_in**f**o"""
erickok/transdroid,closed,No connection to HTTPS (SSL) for rTorrent,[],"Transdrone log:
```
417 -- Tue Nov 06 23:33:38 GMT+01:00 2018 -- 3 -- Calling d.multicall2 with params [  main d.hash= d.name= d.state= d.down.rate= d.up.rate= d.peers_connected= d.peers_not_connected= d.... ]
418 -- Tue Nov 06 23:33:40 GMT+01:00 2018 -- 3 -- de.timroes.axmlrpc.XMLRPCException: org.apache.http.conn.HttpHostConnectException: Connection to https://myserver.com:443 refused
419 -- Tue Nov 06 23:33:40 GMT+01:00 2018 -- 3 -- ConnectionError exception: Error making call to d.multicall2 with params [  main d.hash= d.name= d.state= d.down.rate= d.up.rate= d.peers_connected= d.peers_not_connected= d.... ]: de.timroes.axmlrpc.XMLRPCException: org.apache.http.conn.HttpHostConnectException: Connection to https://myserver.com:443 refused
```

- Transdrone version is 2.5.13
- Android version is 8.0 (Oreo)
- My phone is an Honor 8

I'm trying to connect to my dedicated server with rtorrent/ruTorrent via HTTPS (I force all HTTP request to redirect to HTTPS, using Nginx webserver) but it seems that transdrone doesn't even try to connect to port 443 (because nothing is logged in Nginx logs). Without HTTPS, I can see error 301 messages in Nginx logs.

If I can avoid to use unsecure HTTP, it's better. :D"
erickok/transdroid,open,Crashed on Nexus 6P,"[Label(name=""bug""), Label(name=""needsinfo"")]","I installed version is 2.5.13 from Google Play Store but it crashed after I pressed home button.Here is the crash log:
`E/AndroidRuntime: FATAL EXCEPTION: main
    Process: org.transdroid.lite, PID: 13214
    java.lang.NullPointerException: Attempt to invoke virtual method 'android.widget.ListAdapter android.widget.ListView.getAdapter()' on a null object reference
        at org.transdroid.core.gui.TorrentsFragment.updateViewVisibility(TorrentsFragment.java:467)
        at org.transdroid.core.gui.TorrentsFragment.updateIsLoading(TorrentsFragment.java:445)
        at org.transdroid.core.gui.TorrentsActivity.onTorrentsRetrieved(TorrentsActivity.java:1310)
        at org.transdroid.core.gui.TorrentsActivity_.access$201(TorrentsActivity_.java:44)
        at org.transdroid.core.gui.TorrentsActivity_$5.run(TorrentsActivity_.java:283)
        at android.os.Handler.handleCallback(Handler.java:790)
        at android.os.Handler.dispatchMessage(Handler.java:99)
        at android.os.Looper.loop(Looper.java:164)
        at android.app.ActivityThread.main(ActivityThread.java:6494)
        at java.lang.reflect.Method.invoke(Native Method)
        at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:438)
        at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:807)`"
erickok/transdroid,open,Notifications,"[Label(name=""bug"")]","Hi,
First of all, thanks for your great job on this app. 
I am currently using v2.5.13 on Android v8. 0.0 and I cannot get the notifications to work. I would love to get notified when a new torrent has been added to my seedbox, but it doesn't happen. I have tried both transdroid and transdrone, unfortunately the result is the same. Please, when you have the time, fix it. Thanks."
erickok/transdroid,open,Random crash since 2.5.12,"[Label(name=""needsinfo"")]","Hi everyone,
I have a Sony XZ1 with Android 8. I use it to monitor my deluge server. 
Since the latest update I get random crash. I tried to remove the widget but Transdrone keep crashing randomly even if I'm not connected to my LAN.
does anyone have the same problem? How can I help you more?"
erickok/transdroid,open,Crash on adding torrents,"[Label(name=""bug"")]","```
2342 -- Tue Oct 23 18:24:09 GMT+02:00 2018 -- 6 -- E: java.lang.RuntimeException: Unable to start activity ComponentInfo{org.transdroid.lite/org.transdroid.core.gui.TorrentsActivity_}: java.lang.IllegalStateException: Fragment null must be a public static class to be  properly recreated from instance state.
2343 -- Tue Oct 23 18:24:09 GMT+02:00 2018 -- 6 -- E: android.app.BackStackRecord.doAddOp(BackStackRecord.java:435)
2344 -- Tue Oct 23 18:24:09 GMT+02:00 2018 -- 6 -- E: android.app.BackStackRecord.add(BackStackRecord.java:415)
2345 -- Tue Oct 23 18:24:09 GMT+02:00 2018 -- 6 -- E: android.app.DialogFragment.show(DialogFragment.java:229)
2346 -- Tue Oct 23 18:24:09 GMT+02:00 2018 -- 6 -- E: org.transdroid.core.gui.ServerPickerDialog.startServerPicker(ServerPickerDialog.java:38)
2347 -- Tue Oct 23 18:24:09 GMT+02:00 2018 -- 6 -- E: org.transdroid.core.gui.TorrentsActivity.handleStartIntent(TorrentsActivity.java:622)
2348 -- Tue Oct 23 18:24:09 GMT+02:00 2018 -- 6 -- E: org.transdroid.core.gui.TorrentsActivity.init(TorrentsActivity.java:312)
2349 -- Tue Oct 23 18:24:09 GMT+02:00 2018 -- 6 -- E: org.transdroid.core.gui.TorrentsActivity_.onViewChanged(TorrentsActivity_.java:138)
2350 -- Tue Oct 23 18:24:09 GMT+02:00 2018 -- 6 -- E: org.androidannotations.api.view.OnViewChangedNotifier.notifyViewChanged(OnViewChangedNotifier.java:41)
2351 -- Tue Oct 23 18:24:09 GMT+02:00 2018 -- 6 -- E: org.transdroid.core.gui.TorrentsActivity_.setContentView(TorrentsActivity_.java:78)
2352 -- Tue Oct 23 18:24:09 GMT+02:00 2018 -- 6 -- E: org.transdroid.core.gui.TorrentsActivity_.onCreate(TorrentsActivity_.java:56)
```"
erickok/transdroid,closed,Fix builds for others.,[],These commits will allow building the app on other peoples' systems.
