repository,state,title,label,body
trezor/trezor-android,closed,Cannot resolve symbol 'TrezorMessage',[],"I complie project Ok, but in MainActivity.java file occure Cannot reslove symbol 'TrezorMessage', what should I do, help me , many Thanks

my build.gradle file
buildscript {

    repositories {
        google()
        jcenter()
    }
    dependencies {
        classpath 'com.android.tools.build:gradle:3.1.2'
        classpath files('libs/gradle-witness.jar')
    }
}

allprojects {
    repositories {
        google()
        jcenter()
    }

    project.ext {
        support_version = ""27.0.2""
        sdk = 27
        minsdk = 15
    }
}

task clean(type: Delete) {
    delete rootProject.buildDir
}

"
trezor/trezor-android,closed,gradle sync failed,[],"I download the latest version from github, then open project with android studio 3.2.1, occure error at during rebuild project. 
error log: No dependency for integrity assertion 'com.android.tools.analytics-library:protos:26.1.2:protos-26.1.2.jar:52672a0b42b572a06aecc3535d5068eb46c0e15d129b9f1085d3c16a1da5cdbb'

Do I have to install anything else, please guide me, many thanks"
trezor/trezor-android,open,Outdated help link,[],please change help url from http://doc.satoshilabs.com to https://wiki.trezor.io in app 
trezor/trezor-android,open,Can't perform ETH transaction on Android / blank screen on trezor device (model T),[],"Hi team
I'm trying to perform an ETH transaction using a trezor model T and getting a blank screen on the trezor when trying to sign a transaction, am I passing the params correctly? Previously the trezor would return ""failed safety check"" however since manually converting the to address to a `byte[]` (see the initial `for` loop) the device screen is just blank....
```
                String toMinusZerox = to.substring(2, to.length());

                int len = toMinusZerox.length();
                byte[] data = new byte[len / 2];
                for (int i = 0; i < len; i += 2) {
                    data[i / 2] = (byte) ((Character.digit(toMinusZerox.charAt(i), 16) << 4)
                            + Character.digit(toMinusZerox.charAt(i+1), 16));
                }


                BigDecimal weiValue = Convert.toWei(amount, Convert.Unit.ETHER);
                ByteString toByteString = ByteString.copyFrom(data);
                ByteString weiValueByteString = ByteString.copyFrom(weiValue.toBigInteger().toByteArray());
                ByteString gasPriceByteString = ByteString.copyFrom(GAS_PRICE.toByteArray());  //BigInteger.valueOf(2500)
                ByteString gasLimitByteString = ByteString.copyFrom(GAS_LIMIT.toByteArray());  //BigInteger.valueOf(21000)
                ByteString noOnceByteString = ByteString.copyFrom(noOnce.toByteArray());

                TrezorMessage.EthereumSignTx.Builder builder = TrezorMessage.EthereumSignTx.newBuilder();
                builder.clear();


                TrezorMessage.EthereumSignTx ethReq2 = builder
                        .setTo(toByteString)
                        .setValue(weiValueByteString)
                        .setGasLimit(gasLimitByteString)
                        .setGasPrice(gasPriceByteString)
                        .setNonce(noOnceByteString)
                        .setChainId(4) //rinkerby
                        .setDataInitialChunk(ByteString.EMPTY)
                        .setDataLength(0)
                        .setTxType(1)
                        .build();

                Message result = trezorDevice.sendMessage(ethReq2);

                new android.support.v7.app.AlertDialog.Builder(this).setTitle(""Success"")
                        .setMessage(result.toByteString().toStringUtf8().concat("" something concat-ed""))
                        .create()
                        .show();```"
trezor/trezor-android,closed,New logo/icon proposal,[],Good day sir. I am a graphic designer and i am interested in designing a logo for your good project. I will be doing it as a gift for free. I just need your permission first before I begin my design. Hoping for your positive feedback. Thanks
trezor/trezor-android,closed,Does not work with TREZOR 1 anymore,[],"While investigating https://github.com/walleth/walleth/issues/255 - I noticed that even the stock TREZOR manager does not work with TREZOR 1 anymore - Model T works

PS: I do not run the latest firmware 1.6.1 on the TREZOR one - perhaps this is part of the problem - but I also currently do not want to update in case this has anything to do with the errors"
trezor/trezor-android,closed,error,[],"I downloaded the latest version trezor-android,But still can`t build.
![error](https://user-images.githubusercontent.com/36216120/41211779-2ee2ef18-6d6c-11e8-9bba-6e3c0235083c.png)
"
trezor/trezor-android,closed,Change order of jcenter() and google(),[],"fixes #38
context: https://twitter.com/dannyroa/status/1004751524394778631
Someone was mirroring google projects on jcenter and this was causing trouble"
trezor/trezor-android,closed,File not found,[],"I compile trezor-android resource code,But show me file not found:https://jcenter.bintray.com/android/arch/lifecycle/runtime/1.0.3/runtime-1.0.3.aar,Help me please!Thank you!"
trezor/trezor-android,closed,Set distributionSha256Sum,[],Context: https://docs.gradle.org/current/userguide/gradle_wrapper.html#sec:verification
trezor/trezor-android,closed,Remove old version reference and add jitpack badge,[],The readme was referencing an outdated version. Remove version completely so this does not happen again. Also add jitpack badge so users see latest pushed version very easily. 
trezor/trezor-android,closed,Activate gradle witness for the app,[],"@akwizgran made it possible to have witness also activated for the app - only one module missing now.

context: https://github.com/trezor/trezor-android/pull/34#issuecomment-385984367"
