repository,state,title,label,body
TripSit/tripmobile,open,Adding username set/get,[],"I had to change some SDK versions again to get it working, so some android expert can take a look and fix. "
TripSit/tripmobile,open,Updated de (German) translation,[],
TripSit/tripmobile,closed,"Enabling local storage, modernizing progress color",[],I adjust someone who is more expert at Android double check my changes :)
TripSit/tripmobile,closed,Make the wiki open for anyone to edit,[],"Currently it's **extremly** hard to reach someone to give you editing permission to the wiki. I've tried a number of times and eventually gave up; This is completely counter productive and nonsense in my opinion. You waste the time of people that want to help, and you waste material that could be added to those people when they give up.

* Why is not the forum open to edit for anyone?

* Can you please give everyone edit permission?

* Can you at least add an email that can be used to request editing permission on the wiki; eg create admin@wiki.tripsit.me and add it to the [login](https://wiki.tripsit.me/wiki/Special:UserLogin) page?"
TripSit/tripmobile,open,TripSit KVIrc on GitHub?,[],Where is the bug tracker for [TripSit KVIrc](https://tripsit.me/tripsitapp/)?
TripSit/tripmobile,open,Local database,[],"You need a internet connection to use TripSit but not everyone has access to it all the time.

Have you considered making https://f-droid.org/repository/browse/?fdfilter=tripsit&fdid=me.tripsit.tripmobile offline compatible?
"
TripSit/tripmobile,closed,Fixed failing build,[],
TripSit/tripmobile,closed,Build broken,[],"Hello,

with rev 13a05f54bd35e3a7aff8d86937a6a607eefd22ab the build got broken. BackgroundAnimation is still referenced in /app/src/main/java/me/tripsit/mobile/combination/CombinationActivity.java

Thus build is broken."
TripSit/tripmobile,closed,Update LICENSE to GPL v3,[],
TripSit/tripmobile,closed,Not free Software,[],"I want to bundle this App for F-Droid ( https://f-droid.org ). Infact, I already got a working build recipe.

The only problem with this app is its licence. This app is not free software and the choice of licence is not verry wise. See: https://wiki.creativecommons.org/index.php/Frequently_Asked_Questions#Can_I_apply_a_Creative_Commons_license_to_software.3F

For a list of compatible linceces see https://f-droid.org/wiki/page/Inclusion_Policy and especially https://www.gnu.org/licenses/license-list.html#GPLCompatibleLicenses .

A licence change requires that all developers who already contributed agree with this change.
"
TripSit/tripmobile,closed,build generated,[],"added crash reporting to the generated build (code can be seen in pr)
"
TripSit/tripmobile,closed,Merge pull request #1 from TripSit/master,[],"merge
"
TripSit/tripmobile,closed,Combo fix,[],"Major changes are
- removed .idea folder - this is generated by Gradle when opening the project for the first time
- added a CombinationActivity which uses the tripbot api rather than the combos.json object
- a new combination category (caution) will need adding to separate translation documents
- changed some style parents to use appcompat styles - themes unaffected
- changed activity parents to use appcompat activity - brings in bugfixes for older platforms
"
TripSit/tripmobile,closed,Update combinations to new version ,[],"Currently it's on http://tripsit.me/combo.json while it needs to be on http://tripsit.me/combo_beta.json - easy change, but you'll notice the format has subtley changed so that needs to be accounted for too. Let me know if you need any more info
"
TripSit/tripmobile,open,Add a setting for the user to choose their default irc nick,"[Label(name=""enhancement"")]",
