repository,state,title,label,body
vmihalachi/turbo-editor,open,"Wrong ""create a new file"" behavior when ""Use the Storage Access Framework"" is selected.",[],"Basically this problem is described in the issue #151 ""Request: Provide with unnamed buffer when the application is open. ""
Just I did some investigation and I would like to make the title more clear. "
vmihalachi/turbo-editor,open,Incompatible with Japanese input,[],"Can't use Japanese conversion from hiragana to kanji, katakana, etc"
vmihalachi/turbo-editor,open,Themes,[],How to add external themes?
vmihalachi/turbo-editor,closed,Target API 27 and support runtime permissions,[],
vmihalachi/turbo-editor,open,Syntax highlighting for text files,[],Syntax highlighting should not highlight words like `and` and `for` in standard text (.txt) files. 
vmihalachi/turbo-editor,open,Request: Provide with unnamed buffer when the application is open.,[],"Usually when we open text editors we immediately receive a buffer, where we can immediately start working with text. When starting, Turbo Editor gives us only an option to select a file from storage or to create a new file in storage . Selecting file takes time, but, often we need to very quickly put down notes. It would be great if Turbo Editor would provide us with unnamed buffer when we are opening the application,
"
vmihalachi/turbo-editor,closed,New logo design for the project,[],"Hi, I want to design a new logo for the project completely free..."
vmihalachi/turbo-editor,open,Go to Line Doesn't Work,[],"Hello Developers/Readers,

        On menu options there is option like ""Rename"" for renaming files  but when i'm Select ""New File"" Option from left drawer and then click ""rename"" from menu it is force stopped the editor.
Kindly resolve it as soon as possible."
vmihalachi/turbo-editor,open,View it on the web doesn't work,[],"When clicking on view it on the web I'm prompted to open with chrome or other applications(not browsers) but no one work, and they all say to have no access to the file."
vmihalachi/turbo-editor,open,Availability on F-Droid,[],"I noticed that the application is no more available on [f-droid](https://f-droid.org/packages/com.maskyn.fileeditorpro/#q=turbo%20editor). Is this intentional, and if so permanent?

Thanks."
vmihalachi/turbo-editor,closed,translated 2 resource strings,[],
vmihalachi/turbo-editor,closed,:pencil2: Fix readme Typo,[],Fix readme Typo: Images & flattr link
vmihalachi/turbo-editor,open,Shift key doesn't work with bluetooth keyboard,[],The shift key on my bluetooth keyboard (Logitech k480) doesn't work for capitalising letters while in turbo-editor. The app seems to stop registering new key presses while the shift key is held down. (Although the phone is still reviewing the key presses because the volume keys continue to work and shift works as expected outside the app).
vmihalachi/turbo-editor,closed,saveas option ,[],"An ""saveas"" option to save a opened file with a new name would be helpful. 
Thanks "
vmihalachi/turbo-editor,open,Markdown result discards defined font size,[],"Would be great if the markdown result used the same font size as in the editor, thanks for Turbo Editor."
vmihalachi/turbo-editor,open,Markdown code blocks render as normal text.,[],"Steps to reproduce: Try to use fences for code blocks.
Expected behaviour: code blocks.
Actual behaviour: normal text.
Turbo Editor version:1.19, from F-Droid.

![screenshot_20170112-211458](https://cloud.githubusercontent.com/assets/16250597/21908605/41bd1758-d90c-11e6-8cf8-87bfa2401164.png)
![screenshot_20170112-211504](https://cloud.githubusercontent.com/assets/16250597/21908604/41bbceac-d90c-11e6-9999-1bd0c173146d.png)"
vmihalachi/turbo-editor,open,What happened to turbo client? ,[],
vmihalachi/turbo-editor,open,Turbo Editor not registered to open text files in Android 7.0,[],"After updating from Android 6.0.1 to Android 7.0, Turbo Editor is no longer registered to open text files

1. Using Android 7.0 open file manager
2. Click on a text file in the file manager

Expected behavior
Android should offer the option to open it in Turbo Editor

Actual behavior
Android offers several apps that can read texts files but the list no longer includes Turbo Editor."
