repository,state,title,label,body
adrian/upm-android,closed,NOT available on play store,[],"Hi ive used UPM for years, brilliant program! however im trying to install it on another android device, but cant find it on play store, and even following link from sourceford dosnt show the app. please help
Many thanks"
adrian/upm-android,open,Add password generator based on https://github.com/patarapolw/dicewar…,[],"…e_utils

I add my Password Generator button to the project, based on [Python diceware_utils](https://github.com/patarapolw/diceware_utils). I actually want to use NLTK for [memorable-password](https://github.com/patarapolw/memorable-password)... 

Plan: Add one more button - password generator options.

https://i.imgur.com/LW2m5Gl.png"
adrian/upm-android,open,enhancement: add folder structure,[],"It seems to me it would be helpful if i could create a ""folder"" for passwords in a particular domain. A flat list has disadvantages."
adrian/upm-android,closed,Password should be invisible to the accessibility services,[],"Due to recent attacks, malicious apps that are using the accessibility service, can capture all user inputs. In this case, password, should be ignored for the accessibility service, so such attacks can not be happened."
adrian/upm-android,open,Sync with Dropbox doesn't work anymore (possibly due to depreciated api version),[],"Syncing with Dropbox suddenly stopped working. This might be related to a depreciated dropbox api: https://m.heise.de/newsticker/meldung/Dropbox-API-v1-abgeschaltet-3848199.html

Sine the latest commit in Master is approx two years old, this this great piece of software still maintained?"
adrian/upm-android,open,Google drive sync ,[],"This is only app I use which I need drop box.  All other apps migrated to Google drive 

Would be awesome to get upm supporting Google drive "
adrian/upm-android,open,forgets license file,[],"What is the license for your application in fact no license file is available
knowing that the computer version and GPLv2
can we see you this open source application?
"
adrian/upm-android,open,Now user can input unlimited notes into the notes textbox.,[],"Also  Added dividers in the details view and Italicized label names
"
adrian/upm-android,open,Use HTTP GET to download the db file and patch up multipart POST syntax,[],"The proposed changes fix adrian/upm-android#19 issue, enabling the use
of HTTP GET method instead of static HTTP POST to download the database
file.

The use of LF (instead of CRLF) confuses CGI.pm if CGI.pm is used to
process HTTP uploads. The proposed changes enable processing of HTTP
uploads by a custom CGI script in addition to, or as a replacement of,
the current PHP scripts.
"
adrian/upm-android,open,UPM closes after password input on Lollipop android 5.1,[],"I've just installed UPM from F-droid on my new phone, and the application closes right after entering the password.
"
