repository,state,title,label,body
ojacquemart/vlilleChecker,closed,Hi guys,[],Hi goyss
ojacquemart/vlilleChecker,open,Implement sorting on StarsListFragment,[],"## Sortable Star List

### Overiew of Changes
---
1. Added arrow Vector Assets that will be the sorting indicators.
2. Added a TextView above the Star ListView that is clickable and controls the sort direction.
3. Added sorting logic to sort the list of stations by name.

## Notes

Addresses issue https://github.com/ojacquemart/vlilleChecker/issues/1 
** I know the UI might change, but I feel this is a good starting point! **"
ojacquemart/vlilleChecker,closed,Feature/analytics,[],"## Vlille Checker Anaytics

### Overview of Changes

1. Integrated `Google Analytics v4` as a dependency, and configured the build to include our ID.
2. Created a new manager class, `Analytics Manager` that handles all calls to Google Analytics.
3. Added calls to send Analytics calls to AnalyticsManager from every visible Fragment and Activity.

### Strategy

I tried to design this in a way that was intutive and was easy for you to make additions to. Ideally, you can just add more methods for different analytics you wish to capture (i.e. something besides an event or screen view)

### Exampes of Analytic Calls

| Metric      | Example                                                                      |
|-------------|------------------------------------------------------------------------------|
| Screen View | ```AnalyticsManager.trackScreenView(""About Screen"");```                      |
| Click Event | ```AnalyticsManager.trackEvent(""Home Screen"", ""Settings Tab Clicked"", ""Click"");``` |"
ojacquemart/vlilleChecker,closed,style: update image assets,[],Closes #118
ojacquemart/vlilleChecker,closed,chore: remove gradle warnings,[],Closes #127
ojacquemart/vlilleChecker,closed,feat: add github in the about page,[],Closes #114
ojacquemart/vlilleChecker,closed,feat: improve permissions,[],Closes #123
ojacquemart/vlilleChecker,closed,Track app usage,"[Label(name=""enhancement""), Label(name=""hacktoberfest"")]",Have some statistics about the app usages.
ojacquemart/vlilleChecker,closed,Remove gradle build warnings,"[Label(name=""enhancement""), Label(name=""hacktoberfest"")]","Example:

`Configuration 'compile' is obsolete and has been replaced with 'implementation' and 'api'.
It will be removed at the end of 2018. For more information see: http://d.android.com/r/tools/update-dependency-configurations.html`
"
ojacquemart/vlilleChecker,closed,feat: migrate to android 28,[],Closes #120
ojacquemart/vlilleChecker,closed,fix(settings): fix potential NPE when stations init has failed,[],Relative to #121
ojacquemart/vlilleChecker,closed,style: fix crash message typo,[],Relative to #122
ojacquemart/vlilleChecker,closed,Improve permissions management,"[Label(name=""enhancement""), Label(name=""hacktoberfest"")]","It should be good to chain the request for permissions.

See https://github.com/googlesamples/easypermissions"
ojacquemart/vlilleChecker,closed,Fix toast crash message,"[Label(name=""bug""), Label(name=""hacktoberfest"")]",
ojacquemart/vlilleChecker,closed,Settings screen crash when app is not initiliazed,"[Label(name=""bug""), Label(name=""hacktoberfest"")]",
ojacquemart/vlilleChecker,closed,Upgrade to android 28,"[Label(name=""enhancement""), Label(name=""hacktoberfest"")]",
ojacquemart/vlilleChecker,open,Swith actions bar from top to bottom,"[Label(name=""enhancement"")]","Recently, more and more apps seem to adopt a bottom nav bar.

Maybe, it could be cool to let the user choose the nav direction as a preference (bottom or top)"
ojacquemart/vlilleChecker,closed,Update website,"[Label(name=""enhancement""), Label(name=""hacktoberfest"")]","See http://ojacquemart.github.io/vlilleChecker/

"
ojacquemart/vlilleChecker,closed,Message when the update of a station is older than one minute,"[Label(name=""enhancement"")]","At the moment, open data does not update the stations info anymore:

https://opendata.lillemetropole.fr/explore/dataset/vlille-realtime/api/?dataChart=eyJxdWVyaWVzIjpbeyJjaGFydHMiOlt7InR5cGUiOiJjb2x1bW4iLCJmdW5jIjoiTUFYIiwieUF4aXMiOiJuYlBsYWNlc0Rpc3BvIiwic2NpZW50aWZpY0Rpc3BsYXkiOnRydWUsImNvbG9yIjoiIzY2YzJhNSJ9LHsidHlwZSI6ImNvbHVtbiIsImZ1bmMiOiJNQVgiLCJ5QXhpcyI6Im5iVmVsb3NEaXNwbyIsInNjaWVudGlmaWNEaXNwbGF5Ijp0cnVlLCJjb2xvciI6IiNmYzhkNjIifV0sInhBeGlzIjoibm9tIiwibWF4cG9pbnRzIjo1MCwic29ydCI6InNlcmllMS0xIiwiY29uZmlnIjp7ImRhdGFzZXQiOiJ2bGlsbGUtcmVhbHRpbWUiLCJvcHRpb25zIjp7fX19XSwidGltZXNjYWxlIjoiIiwic2luZ2xlQXhpcyI6dHJ1ZX0%3D&location=16,50.65439,3.08974&basemap=jawg.streets"
ojacquemart/vlilleChecker,open,App not up to date on fdroid,"[Label(name=""enhancement""), Label(name=""hacktoberfest""), Label(name=""help wanted"")]","Check https://f-droid.org/wiki/page/com.vlille.checker

> This app has the KnownVuln Antifeature.
This app has the DisabledAlgorithm Antifeature.

- https://f-droid.org/wiki/page/AntiFeature:DisabledAlgorithm
"
ojacquemart/vlilleChecker,closed,"""passive"" location provider requires ACCESS_FINE_LOCATION permission.","[Label(name=""bug"")]","A bug still present in the latest android versions (7 - 8):

```
java.lang.SecurityException: ""passive"" location provider requires ACCESS_FINE_LOCATION permission.
	at android.os.Parcel.readException(Parcel.java:1665)
	at android.os.Parcel.readException(Parcel.java:1618)
	at android.location.ILocationManager$Stub$Proxy.getLastLocation(ILocationManager.java:725)
	at android.location.LocationManager.getLastKnownLocation(LocationManager.java:1225)
	at com.vlille.checker.ui.osm.location.LocationManagerWrapper.getCurrentLocation(LocationManagerWrapper.java:1064)
	at com.vlille.checker.ui.osm.MapView.drawLocationCircle(MapView.java:3037)
	at com.vlille.checker.ui.osm.MapView.updateLocationCircle(MapView.java:144)
	at com.vlille.checker.ui.fragment.MapFragment$1.onClick(MapFragment.java:163)
	at android.view.View.performClick(View.java:5646)
	at android.view.View$PerformClick.run(View.java:22459)
	at android.os.Handler.handleCallback(Handler.java:761)
	at android.os.Handler.dispatchMessage(Handler.java:98)
	at android.os.Looper.loop(Looper.java:156)
	at android.app.ActivityThread.main(ActivityThread.java:6523)
	at java.lang.reflect.Method.invoke(Native Method)
	at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:942)
	at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:832)
```"
ojacquemart/vlilleChecker,closed,Add link to the github repo,"[Label(name=""enhancement""), Label(name=""good first issue""), Label(name=""hacktoberfest"")]",Add a link to this repository in the about page
