repository,state,title,label,body
ubergeek42/weechat-android,open,"""Hot message"" notifications keep repeating since v0.13",[],"Steps to reproduce:
1. receive a ""hot message"" (eg. a highlight)
2. go to buffer in weechat android and read message: notification goes away
3. watch as the same notification for the same message pops up again after a while. Conditions for the notification popup to reappear are unclear: time? ""x"" new messages in buffer? I couldn't determine that precisely.
The only way to make the notifications go completely away is to acknowledge the hot messages directly in the weechat client itself.
I don't remember this from 0.12 or previous versions, but I might be wrong. I'll look for an older apk if I can."
ubergeek42/weechat-android,open,Crash outside app code in InputConnection.closeConnection() when switching theme (recreating activity),"[Label(name=""light-theme"")]","    2018-10-25 16:43:20.681 20592-20592/com.ubergeek42.WeechatAndroid.debug E/AndroidRuntime: FATAL EXCEPTION: main
    Process: com.ubergeek42.WeechatAndroid.debug, PID: 20592
    java.lang.NullPointerException: Attempt to invoke interface method 'void android.view.inputmethod.InputConnection.closeConnection()' on a null object reference
        at android.view.inputmethod.InputConnectionWrapper.closeConnection(InputConnectionWrapper.java:270)
        at com.android.tools.profiler.support.event.InputConnectionWrapper.closeConnection(InputConnectionWrapper.java:49)
        at com.android.internal.view.IInputConnectionWrapper.executeMessage(IInputConnectionWrapper.java:541)
        at com.android.internal.view.IInputConnectionWrapper$MyHandler.handleMessage(IInputConnectionWrapper.java:85)
        at android.os.Handler.dispatchMessage(Handler.java:106)
        at android.os.Looper.loop(Looper.java:164)
        at android.app.ActivityThread.main(ActivityThread.java:6501)
        at java.lang.reflect.Method.invoke(Native Method)
        at com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run(RuntimeInit.java:438)
        at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:807)"
ubergeek42/weechat-android,open,Reintroduce title in buffer list?,[],"Recently the buffer title was removed from the buffer list, and moved to the top of the scrollback.
However I found very useful the option to show the title in the buffer list, and I would like to know if it can be reintroduced.

Why? Having the title in the buffer list is very useful when using, for example, wee-slack to connect to Slack teams. Slack teams have a default #general channel, and it's now difficult to know which channel belongs to which team without opening it.
I'd be happy to help with testing - I am already enrolled in the beta testing program on the Play Store.
Thanks!"
ubergeek42/weechat-android,closed,Invalid Host,[],"Hello,

when trying to connect to my weechat relay I have an error message saying: 

```
Invalid Host
You are trying to connect to xxx.xxx.... but the certificate is only valid for these hosts: 
(none)
```

When I use Glowing Bear, to be able to connect, I have to visit first in the browser https://xx.xxx.250.120:8000/weechat and only after I can connect to my weechat relay.

But how can I do that in weechat-android ?

Thank you."
ubergeek42/weechat-android,open,App does not work on Pixel 3 XL,[],"Just got my Pixel 3 XL and weechat-android does not work. Just get stuck with the cat as shown here: https://linx.li/selif/vdgnqa95.png

Edit with a tiny bit more information: I tried a few things including reinstalling the app after clearing data and rebooting the phone. I also tried the nightly built with the same result."
ubergeek42/weechat-android,closed,The button to quit the app is missing.,[],
ubergeek42/weechat-android,closed,Can't whitelist own certificate,[],"Hello

Official update via Google Play turned up today. 

It did not connect. 

There is just a popup that says
""Invalid hostname
You are trying to connect to (server address) but the certificate is for (my name)."" 

It is a self signed certificate. There is no way to whitelist it anymore. 

Please add that option. "
ubergeek42/weechat-android,open,crash when connecting to ssl using plain connection,[],"crash when connecting to ssl using plain connection

	09-23 14:00:34.855 17238-17260/com.ubergeek42.WeechatAndroid.debug E/AndroidRuntime: FATAL EXCEPTION: r0
	    Process: com.ubergeek42.WeechatAndroid.debug, PID: 17238
	    java.lang.OutOfMemoryError: Failed to allocate a 1213486176 byte allocation with 1572864 free bytes and 254MB until OOM, max allowed footprint 2998592, growth limit 268435456
	        at com.ubergeek42.weechat.relay.connection.AbstractConnection.enlarge(AbstractConnection.java:179)
	        at com.ubergeek42.weechat.relay.connection.AbstractConnection.readLoop(AbstractConnection.java:153)
	        at com.ubergeek42.weechat.relay.connection.AbstractConnection.access$300(AbstractConnection.java:23)
	        at com.ubergeek42.weechat.relay.connection.AbstractConnection$2.run(AbstractConnection.java:91)
	        at java.lang.Thread.run(Thread.java:764)"
ubergeek42/weechat-android,closed,Cert error in nightly build,[],"![image](https://user-images.githubusercontent.com/3598059/45627088-6443f680-ba91-11e8-8f54-6801c6290e5f.png)

How can I fix this error? 
Using weechat ssl + nightly build.

It works fine in the regular app, but it has started to re-render every 30sec or so which is super annoying. 

"
ubergeek42/weechat-android,open,RFE: Notifications only when away,[],"I'd like to leave weechat-android running all the time but it's annoying to get notifications when I'm right at my computer. I tend to go `/away` when I leave and that's more or less the only time I'm interested in getting mobile notifications.

Could we get an extra switch for ""notify me but only when I'm away""?"
