repository,state,title,label,body
qii/weiciyuan,closed,编译出现error,[],"出现错误：
`Error:Could not determine the dependencies of task ':crashlyticsStoreDeobsDebug'.
> Task with path 'dexDebug' not found in root project 'weiciyuan-0.50'.`
有谁知道怎么解决的吗？google过了也没成功。
"
qii/weiciyuan,open,app不能用了,[],
qii/weiciyuan,open,无法打开,[],安装绿色守护后打不开
qii/weiciyuan,closed,我的关注模块有问题,[],"查看我关注的用户时列表是无限循环的，不会到头。
"
qii/weiciyuan,open,"[DONT MERGE]more emotions support, like [doge]",[],"这个现在需要优化第一次打开的速度。
"
qii/weiciyuan,open,无法编译,[],"导入studio之后报错：Error:Could not download artifact 'com.crashlytics.tools.gradle:crashlytics-gradle:1.14.4:crashlytics-gradle.jar': No cached version available for offline mode

另外，这个项目还在维护吗
"
qii/weiciyuan,open,关于gif的so库源码,[],"哥们能给下gif的so库源码吗，不胜感激
"
qii/weiciyuan,open,导入了android studio，但是无法编译,[],"Error:Execution failed for task ':crashlyticsGenerateResourcesDebug'.

> Crashlytics Developer Tools error.
"
qii/weiciyuan,open,"这个怎么导入到studio中,有相关教程吗?",[],"哪位兄台导入过,可否请教一下
"
qii/weiciyuan,open,MXnote  左侧菜单不显示？,[],"首先允许我表达一下我对您的感谢和敬佩之情。您的项目是我研究的第一个项目  
然后问题： 跑起来的时候左侧怎么显示成这样啊？
![s60516-222805](https://cloud.githubusercontent.com/assets/9511448/15292497/efcad318-1bb5-11e6-8d20-e6ea0c7e20aa.jpg)
"
qii/weiciyuan,open,support higher sdk and gradle version,[],"采用最新的gradle编译，优化了.gitignore文件
"
qii/weiciyuan,open,微博正文网页链接,[],"可以仿造微博把链接缩短成 ""网页链接“ 的样式吗(不把真实链接暴露出来)
"
qii/weiciyuan,open,Nexus 6 android 6.0.1 crash,[],"![1 pic](https://cloud.githubusercontent.com/assets/382763/12164376/0621d688-b550-11e5-8078-b25dae817a84.jpg)
"
qii/weiciyuan,closed,兼容api23,[],"Api23下，[ParcelableSpan](http://developer.android.com/reference/android/text/ParcelableSpan.html)多了两个@hide的方法：

``` java
    int getSpanTypeIdInternal();
    void writeToParcelInternal(Parcel dest, int flags);
```

导致，parcel MyUrlSpan时报错。
"
qii/weiciyuan,open,Fix issue #270: Cannot invoke method minus() on null object,[],"fix compiling error in Android Studio
"
qii/weiciyuan,open,AbstractAppFragment里面的getCurrentState函数逻辑是不是有点问题,[],"在包org.qii.weiciyuan.ui.interfaces中的AbstractAppFragment类里面有一个getCurrentState函数，这个函数的逻辑是不是写的有点问题？函数代码如下

```
protected int getCurrentState(Bundle savedInstanceState) {
        if (savedInstanceState != null) {
            isFirstTimeStartFlag = false;
            return ACTIVITY_DESTROY_AND_CREATE;
        }

        if (!isFirstTimeStartFlag) {
            return SCREEN_ROTATE;
        }

        isFirstTimeStartFlag = false;
        return FIRST_TIME_START;
    }
```

savedInstanceState不为空就直接断定为ACTIVITY_DESTROY_AND_CREATE，感觉不对啊！
"
qii/weiciyuan,open,Cannot invoke method minus() on null object,[],"按照StackOverflow http://stackoverflow.com/questions/19487576/gradle-build-null-console-object上的某个答案：
For some reason, running gradle in daemon mode causes a null console object. If you specify the appropriate command line flag,

./gradlew assembleRelease --no-daemon

it'll work.

但是还是build failed。

错误是
Error:(36, 0) Cannot invoke method minus() on null object

代码行数是：
  35      targetSdkVersion 21
  36      versionCode -1
  37      versionName null
"
qii/weiciyuan,closed,"导入android studio的时候Error:(33, 0) Cannot invoke method minus() on null object",[],"如题：
用的是1.2.1.1版本

---

我擦，我找到解决方法了
http://stackoverflow.com/questions/19487576/gradle-build-null-console-object
第二个答案：
For some reason, running gradle in daemon mode causes a null console object. If you specify the appropriate command line flag,

./gradlew assembleRelease --no-daemon

it'll work.
"
