repository,state,title,label,body
sozialhelden/wheelmap-android,open,Usage of outdated location,[],"This is a follow-up of [sozialhelden/wheelmap/#648](https://github.com/sozialhelden/wheelmap/issues/648) and following threads in the German OSM Forum:

* [Immer wieder falsch positionierte Wheelmap - Eintragungen](https://forum.openstreetmap.org/viewtopic.php?id=59490)
* [Warum wheelmap.org in München einfach so sauviel ""Spaß"" macht!](https://forum.openstreetmap.org/viewtopic.php?id=60363)
* [Wieder mal falsch plazierte Wheelmap-POIs; diesmal: Halle (Saale)](https://forum.openstreetmap.org/viewtopic.php?id=61068)

The OpenStreetMap community still observes new POIs being added at wrong locations and is going to lose patience.

I assume that the bug is located in [`org.wheelmap.android.manager.MyLocationManager.calcBestLastKnownLocation()`](https://github.com/sozialhelden/wheelmap-android/blob/master/app/src/main/java/org/wheelmap/android/manager/MyLocationManager.java#L219). This method is called by the constructor of the `MyLocationManager` class.

```java
    private Location calcBestLastKnownLocation() {
        Location networkLocation = mLocationManager
                .getLastKnownLocation(LocationManager.NETWORK_PROVIDER);
        Location gpsLocation = mLocationManager
                .getLastKnownLocation(LocationManager.GPS_PROVIDER);

        long now = System.currentTimeMillis();
        if (gpsLocation == null && networkLocation == null) {
            return null;
        } else if (gpsLocation == null) {
            return networkLocation;
        } else if (networkLocation == null) {
            return gpsLocation;
        } else if (now - gpsLocation.getTime() < TIME_DISTANCE_LIMIT) {
            return gpsLocation;
        } else if (gpsLocation.getTime() < networkLocation.getTime()) {
            return gpsLocation;
        } else {
            return networkLocation;
        }
    }
```

As a first step, the code retrieves the last known location from the network and GPS provider using the Android system library. If both fails, the method returns `null`. The constructor is already able to handle `null` properly.

If one of the two retrieved locations is null, the other one is returned even if it is old. That's one reason of the bug. If both locations are not null, the age of the GPS location is checked. If it is less than 5 minutes old, it will be returned.

The [next line](https://github.com/sozialhelden/wheelmap-android/blob/master/app/src/main/java/org/wheelmap/android/manager/MyLocationManager.java#L234) contains the second part of the bug. It returns `true` if the GPS location is older than the network location. The comparison operator is `<` but it should be `>=` or `>` because Location.getTime() returns the time in seconds since 1970-01-01.

## How to fix?

There are two possible fixes: A simple hack and a better solution.

The simple hack would only use the GPS as source of location and harm user experience where GPS is difficult to use (cities with high buildings, indoor etc.). The method would look like this:

```java
    private Location calcBestLastKnownLocation() {
        Location gpsLocation = mLocationManager
                .getLastKnownLocation(LocationManager.GPS_PROVIDER);

        long now = System.currentTimeMillis();
        if (gpsLocation == null) {
            return null;
        } else if (now - gpsLocation.getTime() < TIME_DISTANCE_LIMIT) {
            return gpsLocation;
        }
        return null;
    }
```

The second solution would require to check the status of the location everywhere in the app where the location is used for anything else than just centering the map view. Following changes are necessary:

1. Apply following patch:

```
diff --git a/app/src/main/java/org/wheelmap/android/manager/MyLocationManager.java b/app/src/main/java/org/wheelmap/android/manager/MyLocationManager.java
index f8e4947..bfbcad7 100644
--- a/app/src/main/java/org/wheelmap/android/manager/MyLocationManager.java
+++ b/app/src/main/java/org/wheelmap/android/manager/MyLocationManager.java
@@ -75,6 +75,8 @@ public class MyLocationManager {
 
     private Handler mHandler = new Handler();
 
+    private boolean isLocationValid = false;
+
     public static class LocationEvent {
 
         public final Location location;
@@ -124,16 +126,15 @@ public class MyLocationManager {
         mNetworkLocationListener = new MyNetworkLocationListener();
 
         mCurrentBestLocation = calcBestLastKnownLocation();
-        boolean isValid = true;
         if (mCurrentBestLocation == null) {
-            isValid = false;
+            isLocationValid = false;
             mCurrentBestLocation = new Location(
                     LocationManager.NETWORK_PROVIDER);
             mCurrentBestLocation.setLongitude(DEFAULT_LONGITUDE);
             mCurrentBestLocation.setLatitude(DEFAULT_LATITUDE);
             mCurrentBestLocation.setAccuracy(1000 * 1000);
         }
-        mBus.postSticky(new LocationEvent(mCurrentBestLocation, isValid));
+        mBus.postSticky(new LocationEvent(mCurrentBestLocation, isLocationValid));
         wasBestLastKnownLocation = true;
 
     }
@@ -226,14 +227,16 @@ public class MyLocationManager {
         if (gpsLocation == null && networkLocation == null) {
             return null;
         } else if (gpsLocation == null) {
+            isLocationValid = false;
             return networkLocation;
-        } else if (networkLocation == null) {
-            return gpsLocation;
         } else if (now - gpsLocation.getTime() < TIME_DISTANCE_LIMIT) {
+            isLocationValid = true;
             return gpsLocation;
-        } else if (gpsLocation.getTime() < networkLocation.getTime()) {
+        } else if (networkLocation == null || gpsLocation.getTime() < networkLocation.getTime()) {
+            isLocationValid = false;
             return gpsLocation;
         } else {
+            isLocationValid = false;
             return networkLocation;
         }
     }
```

2. Check the validity of the location everywhere where it is necessary."
sozialhelden/wheelmap-android,open,Scrollable View changes position on Device Rotation,[],"When I perform this sequence of events, the scrollable view on screen goes back to the top:

Sequence 1:
1. Click on Search icon
2. Click on Pick a subcategory
3. Scroll Down
4. Orientation change

Sequence 2:
1. Click on Search icon
2. Click on Distance in km
3. Scroll Up
4. Orientation change

Sequence 3:
1. Click on Info icon
2. Click on Legal Notice
3. Scroll Down
4. Orientation Change"
sozialhelden/wheelmap-android,open,Dialogs disappear on device rotation,[],"When I perform these sequences of events, the dialog on screen disappears:

1. Network issue dialog appears due to unstable network
2. Orientation Change"
sozialhelden/wheelmap-android,closed,Fix minor typos.,[],
sozialhelden/wheelmap-android,open,App does not handle TLS properly,[],"The app fails when redirects to https are enabled.

see sozialhelden/wheelmap#410 
"
sozialhelden/wheelmap-android,open,No locations loaded when GPS disabled,[],"When I have GPS disabled on my Android phone, no locations are loaded on the ""staging app"" 3.0.1. (Build 487).
"
sozialhelden/wheelmap-android,open,"java.lang.OutOfMemoryError: bitmap size exceeds VM budget(Heap Size=13959KB, Allocated=8975KB, Bitmap Size=7381KB)","[Label(name=""Android""), Label(name=""App versions: 2.0.3 - 2.0.4""), Label(name=""SplunkMINT"")]","``` bash
java.lang.OutOfMemoryError: bitmap size exceeds VM budget(Heap Size=13959KB, Allocated=8975KB, Bitmap Size=7381KB)
at android.graphics.BitmapFactory.nativeDecodeStream(Native Method)
at android.graphics.BitmapFactory.decodeStream(BitmapFactory.java:690)
at org.osmdroid.DefaultResourceProxyImpl.getBitmap(DefaultResourceProxyImpl.java:124)
at org.osmdroid.DefaultResourceProxyImpl.getDrawable(DefaultResourceProxyImpl.java:163)
at org.osmdroid.views.overlay.ItemizedIconOverlay.<init>(ItemizedIconOverlay.java:41)
at org.wheelmap.android.fragment.POIDetailFragment.createPOIForDetailMap(POIDetailFragment.java:885)
at org.wheelmap.android.fragment.POIDetailFragment.onLoadFinished(POIDetailFragment.java:847)
at org.wheelmap.android.fragment.POIDetailFragment.onLoadFinished(POIDetailFragment.java:139)
at android.support.v4.app.LoaderManagerImpl$LoaderInfo.callOnLoadFinished(LoaderManager.java:427)
at android.support.v4.app.LoaderManagerImpl$LoaderInfo.onLoadComplete(LoaderManager.java:395)
at android.support.v4.content.Loader.deliverResult(Loader.java:103)
at android.support.v4.content.CursorLoader.deliverResult(CursorLoader.java:81)
at android.support.v4.content.CursorLoader.deliverResult(CursorLoader.java:35)
at android.support.v4.content.AsyncTaskLoader.dispatchOnLoadComplete(AsyncTaskLoader.java:221)
at android.support.v4.content.AsyncTaskLoader$LoadTask.onPostExecute(AsyncTaskLoader.java:61)
at android.support.v4.content.ModernAsyncTask.finish(ModernAsyncTask.java:461)
at android.support.v4.content.ModernAsyncTask.access$500(ModernAsyncTask.java:47)
at android.support.v4.content.ModernAsyncTask$InternalHandler.handleMessage(ModernAsyncTask.java:474)
at android.os.Handler.dispatchMessage(Handler.java:99)
at android.os.Looper.loop(Looper.java:143)
at android.app.ActivityThread.main(ActivityThread.java:4277)
at java.lang.reflect.Method.invokeNative(Native Method)
at java.lang.reflect.Method.invoke(Method.java:507)
at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:839)
at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:597)
at dalvik.system.NativeStart.main(Native Method)

```
"
sozialhelden/wheelmap-android,open,Release in f-droid app store,[],"There is a very old version of android release in this independent android app store. Please consider to release the current version too, so people without an google account can install wheelmap too.

https://f-droid.org/repository/browse/?fdfilter=wheelmap&fdid=org.wheelmap.android.online
"
sozialhelden/wheelmap-android,open,java.lang.NullPointerException,"[Label(name=""Android""), Label(name=""App versions: 2.0.1""), Label(name=""SplunkMINT"")]","``` bash
java.lang.NullPointerException
at org.wheelmap.android.fragment.POIDetailFragment.load(POIDetailFragment.java:921)
at org.wheelmap.android.async.UploadPhotoTask.onPostExecute(UploadPhotoTask.java:97)
at org.wheelmap.android.async.UploadPhotoTask.onPostExecute(UploadPhotoTask.java:29)
at android.os.AsyncTask.finish(AsyncTask.java:632)
at android.os.AsyncTask.access$600(AsyncTask.java:177)
at android.os.AsyncTask$InternalHandler.handleMessage(AsyncTask.java:645)
at android.os.Handler.dispatchMessage(Handler.java:102)
at android.os.Looper.loop(Looper.java:157)
at android.app.ActivityThread.main(ActivityThread.java:5356)
at java.lang.reflect.Method.invokeNative(Native Method)
at java.lang.reflect.Method.invoke(Method.java:515)
at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:1265)
at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:1081)
at dalvik.system.NativeStart.main(Native Method)

```
"
sozialhelden/wheelmap-android,open,java.lang.RuntimeException: Parcel android.os.Parcel@22aea07b: Unmarshalling unknown type code 5177420 at offset 12,"[Label(name=""Android""), Label(name=""App versions: 2.0.1""), Label(name=""SplunkMINT"")]","``` bash
java.lang.RuntimeException: Unable to start activity ComponentInfo{org.wheelmap.android.online/org.wheelmap.android.activity.MainSinglePaneActivity}: java.lang.RuntimeException: Parcel android.os.Parcel@22aea07b: Unmarshalling unknown type code 5177420 at offset 12
at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:2314)
at android.app.ActivityThread.handleLaunchActivity(ActivityThread.java:2388)
at android.app.ActivityThread.access$800(ActivityThread.java:148)
at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1292)
at android.os.Handler.dispatchMessage(Handler.java:102)
at android.os.Looper.loop(Looper.java:135)
at android.app.ActivityThread.main(ActivityThread.java:5312)
at java.lang.reflect.Method.invoke(Native Method)
at java.lang.reflect.Method.invoke(Method.java:372)
at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:901)
at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:696)
Caused by: java.lang.RuntimeException: Parcel android.os.Parcel@22aea07b: Unmarshalling unknown type code 5177420 at offset 12
at android.os.Parcel.readValue(Parcel.java:2222)
at android.os.Parcel.readArrayMapInternal(Parcel.java:2479)
at android.os.BaseBundle.unparcel(BaseBundle.java:221)
at android.os.BaseBundle.isEmpty(BaseBundle.java:249)
at org.wheelmap.android.modules.BundlePreferences.retrieve(BundlePreferences.java:63)
at org.wheelmap.android.activity.MapActivity.loadPreferences(MapActivity.java:181)
at org.wheelmap.android.fragment.POIsOsmdroidFragment.executeConfig(POIsOsmdroidFragment.java:371)
at org.wheelmap.android.fragment.POIsOsmdroidFragment.onActivityCreated(POIsOsmdroidFragment.java:287)
at android.support.v4.app.Fragment.performActivityCreated(Fragment.java:1468)
at android.support.v4.app._HoloFragment.performActivityCreated(_HoloFragment.java:251)
at android.support.v4.app.FragmentManagerImpl.moveToState(FragmentManager.java:931)
at android.support.v4.app.FragmentManagerImpl.moveToState(FragmentManager.java:1088)
at android.support.v4.app.BackStackRecord.run(BackStackRecord.java:682)
at android.support.v4.app.FragmentManagerImpl.execPendingActions(FragmentManager.java:1444)
at android.support.v4.app.FragmentActivity.onStart(FragmentActivity.java:551)
at org.holoeverywhere.app.Activity.onStart(Activity.java:459)
at org.wheelmap.android.activity.MainSinglePaneActivity.onStart(MainSinglePaneActivity.java)
at android.app.Instrumentation.callActivityOnStart(Instrumentation.java:1243)
at android.app.Activity.performStart(Activity.java:5969)
at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:2277)
... 10 more

```
"
