repository,state,title,label,body
redsolution/xabber-android,closed,New auth interface and Xabber account,[],
redsolution/xabber-android,closed,New auth interface and Xabber account,[],
redsolution/xabber-android,open,XEP-0363 TLS,[],"On Android 8.1

javax.net.ssl.SSLHandshakeException:
java.security.cert.CertPathValidatorException:
Trust anchor for certification path not found.

I have self-signed Root and Intermediate certificates.
Certificates were installed in the DER format to Trust Store

"
redsolution/xabber-android,open,change status when calling/on phone,"[Label(name=""enhancement"")]","Kinda feels like a FAQ, but would like to ask anyway: would be _very_ nice if xabber changes my status to e.g. busy on incoming calls and on outgoing calls.
 "
redsolution/xabber-android,open,"fix gradle sync failed, android studio 3.2  (git fix, it didn't work, emojicon library errors)",[],"I'm trying to compile the apk but when i open the code using android studio and i got  50 errors and 1 warning from gradle sync failed. (Before several updates)

In the section Read me there is and explanation about how to make it work with git
git clone https://github.com/redsolution/xabber-android.git
then  cd xabber-android 
and
git submodule init
git submodule update

And i updated the submodule from https://github.com/ge0rg/MemorizingTrustManager in xabber-android/MemorizingTrustManager and i updated the build.gradle in xabber/MemorizingTrustManager

But i still got the 5 errors but always is the same:

Unable to resolve dependency for ':xabber@prodDebug/compileClasspath': Failed to transform file 'emojicon-release.aar' to match attributes {artifactType=android-exploded-aar} using transform ExtractAarTransform


I already tried to clean the cache and i didn't work
How can i fix this please?

![captura4](https://user-images.githubusercontent.com/13055051/48432142-95633f00-e741-11e8-8acc-44ce3b28bf1f.JPG)

"
redsolution/xabber-android,open,Specific sound notifications assigned to key phrases are not respected at all.,[],"Hi,

I'd like to report that when I set a specific sound notification for individual key phrases, it always plays the default android sound notification instead of the one I assigned for each key phrases. Am I the only one to have this odd behavior ? or am I doing something wrong ? I'm using Android 8.0.0.

Thank you."
redsolution/xabber-android,open,[Feature Request] Make SOCKS-proxy configuration for every Jabber account (not a common for all),[],"Please make a possibility to configure different SOCKS-proxy for each one Jabber account, but not a common proxy for all. I want to have a possibility to not combine accounts between each other. Make them all separately by IP address to have no possibility to see that they are used on the same device.

[Orbot allows](https://github.com/n8fr8/orbot/issues/176#issuecomment-423374727) to use a different SOCKS proxy on one device. Moreover, different internet (non-local) proxies maybe used."
redsolution/xabber-android,open,[Bug] Problems with timestamps after roaming visit with other GMT,"[Label(name=""bug"")]","In the roaming phone have a two times: home-time and roaming-time. After leaving roaming zone with other GMT, xabber had continued to use roaming time for all timestamp for all messages. But you are in the home network with the home time. All other messengers (Signal, Telegram, etc) had switched to the home time normally (without restart apps, phone or any actions).

* Android 8.0
* Samsung Galaxy S7
"
redsolution/xabber-android,open,"[Bug] Sound notifications plays sound by Media volume, not by Notifications volume","[Label(name=""bug"")]","Xabber message notifications (in the chat) doing using... MEDIA volume, not a NOTIFICATION volume. For example, if you will mute all volumes (call, system, notifications), but media volume will be not 0%, you will hear a notification sounds when message arrives to chat. Incoming messages. This is very annoying. Xabber incorrectly uses media sound instead of notification sound :(

Android 8.0
Samsung Galaxy S7"
redsolution/xabber-android,open,Make a possibility to export and import history (local backups),"[Label(name=""enhancement"")]","Please make a functions to:
* export history (backup)
* import history (restore backup)
And it must work as local backup.
You can encrypt it or not - it is not so important, but it must be stored on the local memory/sd card, without any cloud/internet services. I.e. offline backup.

Event if you will make only the first function (export history) - it will be very good.

Even Whatsapp (!!!) an IM for blondes have a local(!) backup function and restore.

You may export messages in .xml format to do not make a difficult for coding function. This is really require.

Export function must support few accounts (if used).

In addition it is better to have a function to export full settings too. To make it easier to recover Xabber on the other phone, if you are switching to another phone. (Settings for application, for accounts, and history).

(Just for example: Signal messenger have such feature for local backups)"
redsolution/xabber-android,open,"vCard request incorrectly sent to full JID (Android build 501, 2.4.1)",[],"Xabber Android is sending vCard requests to a contact's full JID instead of the bare JID, as [outlined in the specification](https://xmpp.org/extensions/xep-0054.html#sect-idm46012335751040).

Example XML:
```xml
RECV: <iq to=""georg@yax.im/poezio-zzzz"" xml:lang=""en"" id=""6v47n-10148""
    type=""get"" from=""friend@domain/Xabber_Nkxpy34i""><vCard xmlns=""vcard-temp"" /></iq>
```

This is incorrect and probably useless, but it also triggers a [nasty bug in poezio](https://dev.louiz.org/issues/3419).

I'm sure this has been happening for some time already, but I don't know the first version when it happened."
redsolution/xabber-android,open,no xabber icon on status bar,[],"hi

android 8, samsung s7, xabber 2.4.1 (501)

there are no icon on status bar and notification area"
redsolution/xabber-android,closed,Release candidate version v2.4.1 (501),[],
redsolution/xabber-android,closed,Unable to sync and compile in Android Studio.,[],"I cloned the project from github and followed the instructions as prescribed in the Readme file but couldn't succeed to sync and compile the project. Can you please assist me in the same.

`Unable to resolve dependency for ':xabber@devDebug/compileClasspath': Failed to transform file 'MemorizingTrustManager-release.aar' to match attributes {artifactType=android-exploded-aar} using transform ExtractAarTransform
Open File
Show Details


Unable to resolve dependency for ':xabber@devDebug/compileClasspath': Failed to transform file 'emojicon-release.aar' to match attributes {artifactType=android-exploded-aar} using transform ExtractAarTransform
Open File
Show Details


Failed to resolve: crashlytics
Show in File


Failed to resolve: beta
Open File


Failed to resolve: crashlytics-core
Open File


Failed to resolve: answers
Open File


Failed to resolve: fabric
Show in File


Unable to resolve dependency for ':xabber@devDebugAndroidTest/compileClasspath': Failed to transform file 'MemorizingTrustManager-release.aar' to match attributes {artifactType=android-exploded-aar} using transform ExtractAarTransform
Open File
Show Details


Unable to resolve dependency for ':xabber@devDebugAndroidTest/compileClasspath': Failed to transform file 'emojicon-release.aar' to match attributes {artifactType=android-exploded-aar} using transform ExtractAarTransform
Open File
Show Details


Unable to resolve dependency for ':xabber@devDebugUnitTest/compileClasspath': Failed to transform file 'MemorizingTrustManager-release.aar' to match attributes {artifactType=android-exploded-aar} using transform ExtractAarTransform
Open File
Show Details


Unable to resolve dependency for ':xabber@devDebugUnitTest/compileClasspath': Failed to transform file 'emojicon-release.aar' to match attributes {artifactType=android-exploded-aar} using transform ExtractAarTransform
Open File
Show Details


Unable to resolve dependency for ':xabber@devRelease/compileClasspath': Failed to transform file 'MemorizingTrustManager-release.aar' to match attributes {artifactType=android-exploded-aar} using transform ExtractAarTransform
Open File
Show Details


Unable to resolve dependency for ':xabber@devRelease/compileClasspath': Failed to transform file 'emojicon-release.aar' to match attributes {artifactType=android-exploded-aar} using transform ExtractAarTransform
Open File
Show Details


Unable to resolve dependency for ':xabber@devReleaseUnitTest/compileClasspath': Failed to transform file 'MemorizingTrustManager-release.aar' to match attributes {artifactType=android-exploded-aar} using transform ExtractAarTransform
Open File
Show Details


Unable to resolve dependency for ':xabber@devReleaseUnitTest/compileClasspath': Failed to transform file 'emojicon-release.aar' to match attributes {artifactType=android-exploded-aar} using transform ExtractAarTransform
Open File
Show Details`"
redsolution/xabber-android,closed,don't emulate conversatoins entirely with their poorly crafted feature labels & inane defaults,[],"I routinely have to explain to people who purport to be friends that disabling the social features of Conversations does not enhance their privacy when talking with friends.  If they are worried about people they don't know don't add them as a contact or use wickr.  ""If you're not interested in sharing this with me as I do with you then I'm not interested in talking with you"".

Conversations default feature state is inanity.  When I configure the app for a friend I enable all the social share features as I have done on my own devices.  Less that this renders Jabber Texting no more useful than legacy texting (sms).  

The settings header ""Privacy"" along with descriptors implies [in the minds of most of these people] less privacy with these essential features enabled:

Confirm Messages: let your contacts know when you have received and read their messages

Typing Notifications: let your contacts know when you are writing messages to them

Broadcast Last User Interaction:  let all your contacts know when you use Conversations

^ These are critical to presence and courtesy.

Send button indicates status. 

^ This allows you to respect their time.

Allow message correction.

^ This helps overcome samsung autoINcorrect.

_Availability

Away when screen is off.

I would also  set: DND in silent mode, but my expectation is 

away + DND enabled, screen off:  color for away

away + DVD enabled, screen on: color for DND

In this case however the color is always DND.

_Other

Request message receipt: received messages will be marked with a green tick


ALL of these (except backward function DND availability) ought be enabled by default.

Please don't follow Conversation defaults CRIPPLING SOCIAL use of Jabber Texting.

"
redsolution/xabber-android,closed,Future/image viewer,[],
redsolution/xabber-android,open,mod_mam not working as expected,"[Label(name=""bug"")]","Hi!

I have a prosody 0.10 server with mod_mam enabled.

In xabber ""Server info"" tab the XEP-0313 is checked as available, also urn:xmpp:mam:[0,1,2] are listed in the Features list but the ""Chat History:Message Archive Management"" tab has an information that ""the server does not support storing chat history""
Why?"
redsolution/xabber-android,closed,Send files,[],"Xabber says that my jabber server not allow send files but I log in to my account with pidgin on desktop and it's allow send files
So I think it's a bug of app"
redsolution/xabber-android,open,attempting to load a conference in bookmarks crashes app,[],"i have a persistent conference bookmark set up via [XEP-0048](https://xmpp.org/extensions/xep-0048.html), set to auto-join.

however, in recent versions (incl. xabber beta), when i attempt to load/switch into that conference window, the entire app crashes.

i'm on lineageOS 15.1 (which uses android 8.1 as a base). let me know if you need any more information."
redsolution/xabber-android,open,Allow http_upload to send bigger pictures OR autoresize image into smaller (minimal) size,"[Label(name=""bug""), Label(name=""enhancement"")]","I have own XMPP server where I have enabled BOSH and the support to receive HTTP Uploads and I have allowed big files on my end. I have found it's very inconvenient when I making 8MP photos and I can't send them due their ""too big size"". That forces me to set smaller size of photo and retry the shot, OR manually resize the picture in any image editor I can find on my phone.
Can you allow sending of bigger images or make the automatic resize of the photo into smaller size?

P.S. As another suggestion, can you add the ability to take the picture from the camera than from gallery?"
redsolution/xabber-android,closed,Future/attach dialog,[],
redsolution/xabber-android,open,Custom notification sounds broken on Android 8,"[Label(name=""bug"")]","I just upgraded my phone to Android 8.0, and doing that seems to have broken custom notification sounds in Xabber. I'm not really into Android development enough to offer informed commentary, but there seems to have been changes to how notifications work in 8.0 that have affected others too:

https://stackoverflow.com/questions/46019496/notification-sound-on-api-26/46192246
"
redsolution/xabber-android,closed,Wish: Ability to discover the real JID of participants of MUC chat when room allows it.,"[Label(name=""enhancement""), Label(name=""rejected"")]","MUC chatroom could be configured to allow a participant to discover the real JID of other participants, and moderators should have such capability even without such configuration, but it seems impossible to do so with xabber, while using pidgin, psi, or even Conversations can achieve this.

Could such capability be added in a future revision of xabber, please?"
redsolution/xabber-android,open,Contributing a new logo ,"[Label(name=""Suggestion"")]","Hi developers!
I am a graphic designer, I want to contribute to make a logo on your project, before I start it, I have to ask your permission first 😃
Best Regards, @artjeck"
