repository,state,title,label,body
ajlyon/zandy,closed,link DOIs to recommended resolver,[],"Hello and 1k thanks for working on this neat app :-)

Please consider using the [news, secure resolver](https://www.doi.org/doi_handbook/3_Resolution.html#3.8) when generating DOI links.

Cheers!"
ajlyon/zandy,closed,Move to v3 API #138 (in progress),[],"Fixes #138 

Using retrofit2 and gson.
under new api package.
Tests."
ajlyon/zandy,closed,use-switch-instead-of-if,[],
ajlyon/zandy,closed,remove reference of handlers on destroy,[],
ajlyon/zandy,closed,149 lint cleanup,[],Fixes: #149
ajlyon/zandy,closed,General Lint cleanup,[],
ajlyon/zandy,closed,add passing of gradle properties through commandline,[],"Fixes: #147

Usage:

./gradlew connectedcheck -PtestUserId=******* -PtestUserKeyReadonly=*******"
ajlyon/zandy,closed,Allow passing of gradle properties for test parameters through commandline,[],
ajlyon/zandy,closed,Project is using an incompatible version of Android Gradle plugin #145,[],"Fixes #145

changed build.grade"
ajlyon/zandy,closed,Project is using an incompatible version of Android Gradle plugin,[],"Android Studio 3.0.1
Build #AI-171.4443003, built on November 9, 2017
JRE: 1.8.0_152-release-915-b01 amd64
JVM: OpenJDK 64-Bit Server VM by JetBrains s.r.o
Linux 4.13.13-300.fc27.x86_64"
ajlyon/zandy,open,Indication of sync in progress,"[Label(name=""interface"")]",
ajlyon/zandy,open,WIP Revamp ui,[],"Primarily a visual reskin to be ""largely standard"" for 2017.
![image](https://user-images.githubusercontent.com/224208/32141264-10115668-bc39-11e7-9a55-64e03f5196aa.png)

Proper reinvigoration is more than this, but focusing on item presentation and workflows for items.
"
ajlyon/zandy,open,Subcollection parenting is not correctly synced,"[Label(name=""api""), Label(name=""bug"")]","Reported via email:
> I have a problem syncing subcollections.
> When I move a subcollection in zotero, this is not reflected in Zandy, not even a week later. Items in that are subsequently added to the subcollection appear in the subcollection at it's original location in Zandy, so the collection contents are managed properly, their location not.
"
ajlyon/zandy,closed,Rearrange tests to include old tests,[],
ajlyon/zandy,closed,Initialize prefs before starting activity in logged in test,[],
ajlyon/zandy,closed,Bump tools + add some basic tests,[],
ajlyon/zandy,open,Move to v3 API,"[Label(name=""api"")]",Move to V3 API and its support for better syncing and partial syncs
ajlyon/zandy,closed,"Formatting, lint and deprecation",[],
ajlyon/zandy,closed,Attachment names,[],
ajlyon/zandy,closed,"Gradle updates, general style fixes",[],
ajlyon/zandy,open,NOT FOR MERGE | Zotable changeset,[],"From code hosted at https://drive.google.com/file/d/0B2k1aKFvEwTxRHZPU3FfT0hLWU0/view
App at https://play.google.com/store/apps/details?id=com.mattrobertson.zotable.app
"
ajlyon/zandy,closed,Missing items and collections,[],"I have some items and collections missing in Zandy. They are available on my computers with firefox+zotero. In addition, some items are not shown all collections they belong to. For instance, one item is show in only two collections although it is really in three (all these collections are in zandy). 

Also, ""View Collections"" shows incorrect number of items for most collections. It shows 0 items for most and ""Stale data"". When clicked, the items are shown (at least those that are not missing from Zandy). If clicking ""Sync"" in such a collection, I get an error ""Unfortunately, Zandy has stopped"" and Zandy restarts. This happens with collections that are shown 0 items although they have items.

I suppose all these problems are caused by some invalid data in some items. Any ideas?

I'm using Zandy 1.3.7 from F-Droid.
"
ajlyon/zandy,open,F-droid version,[],"[F-droid](http://f-droid.org) [isn't compiling new versions of Zandy](https://f-droid.org/wiki/page/com.gimranov.zandy.app) because it pulls in unfree binaries; crashlytics, swing (at least that is the concern with crashlytics).

F-droid is a really great market, and is gaining steam and quality, and it would really be great to have Zandy included. Would it be possible to make a f-droid branch, like [aLogCatRoot has done](https://github.com/pedja1/aLogcatRoot/issues/1)?
"
ajlyon/zandy,closed,IllegalArgumentException when adding new note attachment,[],"# Description

Adding a new note to an existing library item results in Zandy force closing.  I believe it's because of a a parameter being set to null in the SQL query.
# Repro Steps
1. Click on a library item
2. Click on attachments
3. Press the plus button
4. Type something into the note dialog box
5. Press ""Ok button""
6. Error dialog pops up, ""Unfortunately, Zandy has stopped
## Expected Outcome

The note gets added to the zotero library
## Actual Outcome

Zandy force closes
# Supplemental Information

`02-27 21:56:31.065    4649-4649/com.gimranov.zandy.app E/AndroidRuntime﹕ FATAL EXCEPTION: main
    Process: com.gimranov.zandy.app, PID: 4649
    java.lang.IllegalArgumentException: the bind value at index 1 is null
            at android.database.sqlite.SQLiteProgram.bindString(SQLiteProgram.java:164)
            at android.database.sqlite.SQLiteProgram.bindAllArgsAsStrings(SQLiteProgram.java:200)
            at android.database.sqlite.SQLiteDirectCursorDriver.query(SQLiteDirectCursorDriver.java:47)
            at android.database.sqlite.SQLiteDatabase.rawQueryWithFactory(SQLiteDatabase.java:1316)
            at android.database.sqlite.SQLiteDatabase.queryWithFactory(SQLiteDatabase.java:1163)
            at android.database.sqlite.SQLiteDatabase.query(SQLiteDatabase.java:1034)
            at android.database.sqlite.SQLiteDatabase.query(SQLiteDatabase.java:1240)
            at com.gimranov.zandy.app.data.Database.query(Database.java:57)
            at com.gimranov.zandy.app.data.Attachment.load(Attachment.java:223)
            at com.gimranov.zandy.app.AttachmentActivity$9.onClick(AttachmentActivity.java:350)
            at com.android.internal.app.AlertController$ButtonHandler.handleMessage(AlertController.java:160)
            at android.os.Handler.dispatchMessage(Handler.java:102)
            at android.os.Looper.loop(Looper.java:135)
            at android.app.ActivityThread.main(ActivityThread.java:5221)
            at java.lang.reflect.Method.invoke(Native Method)
            at java.lang.reflect.Method.invoke(Method.java:372)
            at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:899)
            at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:694)
`
"
